genet,2016_HAA_06 Class name,2016_HAA_06 Object id,2016_HAA_06 Area,2018_HAA_06 Class name,2018_HAA_06 Object id,2018_HAA_06 Area,2020_HAA_06 Class name,2020_HAA_06 Object id,2020_HAA_06 Area,2022_HAA_06 Class name,2022_HAA_06 Object id,2022_HAA_06 Area
0,Pocillopora  ,0  ,7.86  ,,,,,,,,,
1,Pocillopora  ,1  ,46.98  ,Pocillopora  ,2  ,21.85  ,Pocillopora  ,0  ,66.02  ,,,
2,Pocillopora  ,2  ,3.77  ,Pocillopora  ,1  ,16.23  ,,,,,,
3,Pocillopora  ,3  ,1.78  ,,,,,,,,,
4,Pocillopora  ,4  ,114.14  ,Pocillopora  ,5  ,185.11  ,,,,,,
5,Pocillopora  ,5  ,7.69  ,Pocillopora  ,6  ,86.94  ,Pocillopora  ,2  ,209.42  ,Pocillopora  ,5  ,265.82  
6,Pocillopora  ,6  ,41.17  ,,,,,,,,,
7,Pocillopora  ,7  ,207.69  ,Pocillopora  ,8  ,534.81  ,Pocillopora  Pocillopora  ,5  14  ,17.18  4.12  ,,,
8,Pocillopora  ,8  ,25.37  ,,,,,,,,,
9,Pocillopora  ,9  ,123.12  ,Pocillopora  ,11  ,224.71  ,Pocillopora  ,6  ,167.37  ,Pocillopora  ,6  ,165.81  
10,Pocillopora  ,10  ,42.85  ,Pocillopora  ,12  ,223.71  ,,,,,,
11,Pocillopora  ,11  ,1.37  ,Pocillopora  ,7  ,13.91  ,Pocillopora  ,4  ,20.27  ,Pocillopora  ,4  ,7.9  
12,Pocillopora  ,12  ,179.84  ,Pocillopora  Pocillopora  ,14  15  ,102.23  99.07  ,,,,,,
13,Pocillopora  ,13  ,1.58  ,Pocillopora  ,13  ,7.95  ,,,,,,
14,Pocillopora  ,14  ,19.12  ,,,,,,,,,
15,Pocillopora  ,15  ,12.61  ,,,,,,,,,
16,Pocillopora  ,16  ,23.35  ,Pocillopora  ,10  ,147.18  ,Pocillopora  ,7  ,229.94  ,Pocillopora  ,9  ,164.28  
17,Pocillopora  ,17  ,20.26  ,Pocillopora  ,20  ,26.65  ,,,,,,
18,Pocillopora  Pocillopora  ,18  21  ,79.08  16.25  ,Pocillopora  ,18  ,137.23  ,Pocillopora  ,8  ,37.09  ,,,
19,Pocillopora  ,19  ,5.13  ,,,,,,,,,
20,Pocillopora  ,20  ,82.28  ,Pocillopora  ,17  ,900.18  ,Pocillopora  Pocillopora  Pocillopora  ,9  10  11  ,32.53  9.8  9.59  ,,,
21,Pocillopora  ,22  ,61.69  ,,,,,,,,,
22,Pocillopora  ,23  ,132.71  ,,,,,,,,,
23,,,,Pocillopora  ,3  ,13.64  ,,,,,,
24,,,,Pocillopora  ,4  ,4.0  ,,,,,,
25,,,,Acropora  ,19  ,2.31  ,,,,,,
26,,,,,,,Pocillopora  ,1  ,3.96  ,,,
27,,,,,,,Acropora  ,12  ,1.02  ,,,
28,,,,,,,Pocillopora  ,13  ,2.55  ,,,
29,,,,,,,Pocillopora  ,15  ,0.72  ,Pocillopora  ,8  ,27.99  
30,,,,,,,Pocillopora  ,16  ,6.72  ,Pocillopora  ,7  ,23.48  
31,,,,,,,Acropora  ,17  ,1.19  ,,,
32,,,,,,,Pocillopora  ,18  ,1.03  ,,,
33,,,,,,,,,,Pocillopora  ,0  ,2.45  
34,,,,,,,,,,Pocillopora  ,1  ,3.75  
35,,,,,,,,,,Pocillopora  ,2  ,2.81  
36,,,,,,,,,,Pocillopora  ,3  ,4.18  
37,,,,,,,,,,Pocillopora  ,10  ,6.04  
