genet,2016_HAA_19 Class name,2016_HAA_19 Object id,2016_HAA_19 Area,2018_HAA_19 Class name,2018_HAA_19 Object id,2018_HAA_19 Area,2020_HAA_19 Class name,2020_HAA_19 Object id,2020_HAA_19 Area,2022_HAA_19 Class name,2022_HAA_19 Object id,2022_HAA_19 Area
0,Pocillopora  ,0  ,51.07  ,Pocillopora  ,11  ,84.93  ,,,,,,
1,Pocillopora  ,1  ,2.54  ,Pocillopora  ,8  ,35.94  ,Pocillopora  ,6  ,52.59  ,,,
2,Acropora  ,2  ,1.97  ,Acropora  ,1  ,15.86  ,Acropora  ,0  ,13.34  ,Acropora  ,0  ,29.29  
3,Acropora  ,3  ,5.27  ,Acropora  ,0  ,35.95  ,,,,,,
4,Pocillopora  ,4  ,12.35  ,,,,,,,,,
5,Pocillopora  ,5  ,4.02  ,,,,,,,,,
6,Pocillopora  ,6  ,4.55  ,,,,,,,,,
7,Pocillopora  ,7  ,3.0  ,Pocillopora  ,3  ,66.64  ,Pocillopora  ,1  ,54.13  ,,,
8,Pocillopora  Pocillopora  ,8  9  ,4.19  546.4  ,Pocillopora  ,12  ,1230.12  ,Pocillopora  ,9  ,11.37  ,,,
9,Pocillopora  ,11  ,34.78  ,Pocillopora  ,24  ,98.21  ,Pocillopora  ,16  ,105.43  ,Pocillopora  ,2  ,75.67  
10,Pocillopora  ,12  ,17.01  ,Pocillopora  ,21  ,39.61  ,Pocillopora  ,21  ,29.53  ,,,
11,Pocillopora  ,13  ,53.18  ,Pocillopora  ,16  ,156.15  ,,,,,,
12,Pocillopora  ,14  ,53.94  ,Pocillopora  ,13  ,90.37  ,Pocillopora  ,7  ,75.42  ,,,
13,Pocillopora  ,15  ,10.9  ,Pocillopora  ,15  ,36.01  ,,,,,,
14,Pocillopora  ,16  ,86.85  ,Pocillopora  ,14  ,209.28  ,Pocillopora  ,18  ,133.76  ,Pocillopora  ,1  ,187.22  
15,Pocillopora  ,17  ,11.72  ,Pocillopora  Pocillopora  ,19  20  ,11.59  70.71  ,Pocillopora  ,23  ,47.36  ,,,
16,Pocillopora  ,18  ,28.6  ,Pocillopora  ,28  ,77.33  ,Pocillopora  ,24  ,106.49  ,,,
17,Pocillopora  ,19  ,16.79  ,Pocillopora  ,26  ,65.07  ,Pocillopora  ,25  ,44.58  ,,,
18,Pocillopora  ,20  ,6.1  ,Pocillopora  ,18  ,23.69  ,,,,,,
19,Pocillopora  ,21  ,8.71  ,Pocillopora  ,29  ,42.08  ,Pocillopora  ,33  ,36.52  ,,,
20,Pocillopora  ,22  ,40.47  ,Pocillopora  ,34  ,97.33  ,Pocillopora  ,29  ,117.58  ,Pocillopora  ,7  ,147.34  
21,Pocillopora  ,23  ,49.76  ,Pocillopora  ,31  ,107.98  ,Pocillopora  ,32  ,166.02  ,,,
22,Pocillopora  ,24  ,1.84  ,Pocillopora  ,32  ,20.67  ,Pocillopora  ,31  ,41.67  ,Pocillopora  ,6  ,5.84  
23,Pocillopora  ,25  ,2.35  ,Pocillopora  ,17  ,11.83  ,Pocillopora  ,19  ,24.42  ,,,
24,,,,Pocillopora  ,2  ,1.0  ,Pocillopora  ,28  ,10.93  ,Pocillopora  ,3  ,66.94  
25,,,,Pocillopora  ,4  ,6.44  ,,,,,,
26,,,,Pocillopora  ,5  ,10.83  ,Pocillopora  ,4  ,14.76  ,,,
27,,,,Pocillopora  Pocillopora  ,6  7  ,6.04  8.88  ,Pocillopora  ,5  ,45.78  ,,,
28,,,,Pocillopora  ,9  ,26.25  ,,,,,,
29,,,,Pocillopora  ,10  ,10.17  ,,,,,,
30,,,,Pocillopora  ,22  ,6.08  ,,,,,,
31,,,,Pocillopora  ,23  ,16.7  ,Pocillopora  ,26  ,38.74  ,Pocillopora  ,8  ,4.49  
32,,,,Pocillopora  ,25  ,20.79  ,,,,,,
33,,,,Acropora  ,27  ,13.55  ,Acropora  ,27  ,32.88  ,Acropora  ,4  ,32.73  
34,,,,Acropora  ,30  ,13.37  ,,,,,,
35,,,,Pocillopora  ,33  ,4.99  ,Pocillopora  ,20  ,32.46  ,,,
36,,,,Pocillopora  ,35  ,4.49  ,,,,,,
37,,,,Pocillopora  ,36  ,11.22  ,Pocillopora  ,22  ,29.35  ,Pocillopora  ,5  ,8.95  
38,,,,,,,Pocillopora  ,3  ,4.64  ,,,
39,,,,,,,Pocillopora  ,8  ,25.48  ,,,
