genet,2016_HAA_17 Class name,2016_HAA_17 Object id,2016_HAA_17 Area,2018_HAA_17 Class name,2018_HAA_17 Object id,2018_HAA_17 Area,2020_HAA_17 Class name,2020_HAA_17 Object id,2020_HAA_17 Area,2022_HAA_17 Class name,2022_HAA_17 Object id,2022_HAA_17 Area
0,Pocillopora  ,0  ,14.43  ,,,,,,,,,
1,Pocillopora  ,1  ,96.02  ,Pocillopora  ,7  ,160.32  ,Pocillopora  ,0  ,184.66  ,,,
2,Pocillopora  ,2  ,13.98  ,Pocillopora  ,0  ,55.93  ,,,,,,
3,Pocillopora  ,3  ,2.9  ,,,,,,,,,
4,Pocillopora  ,4  ,18.07  ,Pocillopora  ,2  ,25.67  ,,,,,,
5,Pocillopora  ,5  ,28.92  ,,,,,,,,,
6,Pocillopora  ,6  ,68.65  ,Pocillopora  Pocillopora  ,1  3  ,81.35  42.67  ,,,,,,
7,Pocillopora  ,7  ,5.56  ,Pocillopora  ,8  ,30.53  ,,,,,,
8,Pocillopora  ,8  ,115.92  ,Pocillopora  ,10  ,218.57  ,Pocillopora  ,3  ,269.57  ,,,
9,Pocillopora  ,9  ,7.51  ,Pocillopora  ,11  ,2.22  ,,,,,,
10,Pocillopora  ,10  ,57.54  ,Pocillopora  ,12  ,39.75  ,,,,,,
11,Pocillopora  ,11  ,20.27  ,Pocillopora  ,13  ,76.18  ,Pocillopora  ,4  ,127.15  ,,,
12,Pocillopora  ,12  ,3.64  ,Pocillopora  ,18  ,8.18  ,,,,,,
13,Pocillopora  ,13  ,7.17  ,Pocillopora  ,19  ,33.37  ,Pocillopora  ,8  ,55.09  ,,,
14,Pocillopora  ,14  ,53.73  ,Pocillopora  ,20  ,138.67  ,Pocillopora  ,10  ,160.6  ,,,
15,Pocillopora  ,15  ,7.41  ,Pocillopora  ,17  ,22.14  ,,,,,,
16,Pocillopora  ,16  ,4.6  ,Pocillopora  ,24  ,20.68  ,,,,,,
17,Pocillopora  ,17  ,5.03  ,Pocillopora  ,25  ,15.91  ,,,,,,
18,Pocillopora  ,18  ,2.0  ,Pocillopora  ,14  ,23.01  ,Pocillopora  ,5  ,59.71  ,,,
19,Pocillopora  ,19  ,0.96  ,,,,,,,,,
20,Pocillopora  ,20  ,2.55  ,,,,,,,,,
21,Pocillopora  ,21  ,2.7  ,Pocillopora  ,6  ,10.09  ,Pocillopora  ,2  ,33.1  ,,,
22,Pocillopora  ,22  ,4.9  ,Pocillopora  ,9  ,33.88  ,,,,,,
23,Pocillopora  ,23  ,5.6  ,Pocillopora  ,22  ,29.3  ,Pocillopora  ,9  ,14.47  ,,,
24,,,,Pocillopora  ,4  ,3.76  ,,,,,,
25,,,,Pocillopora  ,5  ,5.57  ,,,,,,
26,,,,Pocillopora  ,21  ,2.79  ,,,,,,
27,,,,,,,Pocillopora  ,7  ,2.38  ,,,
28,,,,,,,Pocillopora  ,11  ,19.56  ,,,
29,,,,,,,Pocillopora  ,12  ,1.56  ,,,
30,,,,,,,,,,Acropora  ,1  ,5.7  
31,,,,,,,,,,Pocillopora  ,2  ,10.58  
32,,,,,,,,,,Pocillopora  ,4  ,4.83  
