genet,2016_HAA_13 Class name,2016_HAA_13 Object id,2016_HAA_13 Area,2018_HAA_13 Class name,2018_HAA_13 Object id,2018_HAA_13 Area,2020_HAA_13 Class name,2020_HAA_13 Object id,2020_HAA_13 Area,2022_HAA_13 Class name,2022_HAA_13 Object id,2022_HAA_13 Area
0,Acropora  ,0  ,15.44  ,Acropora  ,3  ,111.76  ,,,,,,
1,Pocillopora  ,1  ,5.38  ,,,,,,,,,
2,Pocillopora  ,2  ,6.28  ,Pocillopora  ,4  ,36.73  ,,,,,,
3,Pocillopora  ,3  ,1.95  ,,,,,,,,,
4,Pocillopora  ,4  ,44.17  ,Pocillopora  ,5  ,85.37  ,,,,,,
5,Pocillopora  ,6  ,28.39  ,,,,,,,,,
6,Pocillopora  ,7  ,2.65  ,,,,,,,,,
7,Pocillopora  ,8  ,3.83  ,,,,,,,,,
8,Pocillopora  ,9  ,10.29  ,,,,,,,,,
9,Pocillopora  ,10  ,13.49  ,Pocillopora  ,9  ,19.65  ,,,,,,
10,Pocillopora  ,11  ,158.14  ,Pocillopora  ,8  ,515.56  ,,,,,,
11,Pocillopora  ,12  ,149.61  ,Pocillopora  ,7  ,312.04  ,Pocillopora  ,7  ,5.47  ,,,
12,Pocillopora  ,13  ,18.09  ,Pocillopora  ,10  ,41.11  ,Pocillopora  ,10  ,49.14  ,,,
13,Pocillopora  ,14  ,10.12  ,,,,,,,,,
14,Pocillopora  ,15  ,147.69  ,Pocillopora  ,16  ,242.56  ,,,,,,
15,Pocillopora  ,16  ,2.8  ,,,,,,,,,
16,Pocillopora  ,17  ,156.34  ,Pocillopora  ,15  ,196.2  ,Pocillopora  ,13  ,20.88  ,,,
17,Pocillopora  ,18  ,63.19  ,,,,,,,,,
18,Pocillopora  ,19  ,110.96  ,,,,,,,,,
19,Pocillopora  ,20  ,7.9  ,Pocillopora  ,17  ,35.5  ,,,,,,
20,Pocillopora  ,21  ,5.68  ,,,,,,,,,
21,Pocillopora  ,22  ,11.73  ,,,,,,,,,
22,Pocillopora  Pocillopora  ,23  24  ,23.63  98.98  ,Pocillopora  ,11  ,121.14  ,Pocillopora  Pocillopora  ,11  14  ,26.52  9.28  ,,,
23,Pocillopora  ,25  ,42.59  ,Pocillopora  ,19  ,122.04  ,Pocillopora  ,19  ,7.52  ,,,
24,Pocillopora  ,26  ,96.56  ,Pocillopora  ,18  ,137.7  ,Pocillopora  ,15  ,87.67  ,,,
25,Pocillopora  ,29  ,8.5  ,,,,,,,,,
26,,,,Pocillopora  ,0  ,27.29  ,Pocillopora  ,2  ,18.11  ,,,
27,,,,Pocillopora  Pocillopora  ,1  2  ,25.62  6.71  ,Pocillopora  ,4  ,149.88  ,,,
28,,,,Pocillopora  ,6  ,2.68  ,Pocillopora  ,3  ,7.79  ,,,
29,,,,Acropora  ,14  ,10.7  ,,,,,,
30,,,,Pocillopora  ,20  ,6.39  ,,,,,,
31,,,,Pocillopora  ,21  ,11.27  ,Pocillopora  ,18  ,15.79  ,,,
32,,,,,,,Pocillopora  ,0  ,6.12  ,,,
33,,,,,,,Pocillopora  ,1  ,9.12  ,,,
34,,,,,,,Pocillopora  ,5  ,3.84  ,,,
35,,,,,,,Pocillopora  ,6  ,4.47  ,,,
36,,,,,,,Pocillopora  ,8  ,4.52  ,,,
37,,,,,,,Pocillopora  ,9  ,3.25  ,,,
38,,,,,,,Pocillopora  ,12  ,9.12  ,,,
39,,,,,,,Pocillopora  ,16  ,64.33  ,,,
40,,,,,,,Pocillopora  ,23  ,5.48  ,,,
41,,,,,,,,,,Acropora  ,0  ,4.77  
42,,,,,,,,,,Pocillopora  ,1  ,13.97  
