genet,2016_HAA_10 Class name,2016_HAA_10 Object id,2016_HAA_10 Area,2018_HAA_10 Class name,2018_HAA_10 Object id,2018_HAA_10 Area,2020_HAA_10 Class name,2020_HAA_10 Object id,2020_HAA_10 Area,2022_HAA_10 Class name,2022_HAA_10 Object id,2022_HAA_10 Area
0,Pocillopora  ,0  ,110.07  ,Pocillopora  ,1  ,146.14  ,,,,,,
1,Pocillopora  ,1  ,129.4  ,Pocillopora  ,2  ,142.94  ,Pocillopora  ,0  ,153.67  ,,,
2,Acropora  ,2  ,136.95  ,Acropora  ,0  ,367.88  ,,,,,,
3,Pocillopora  ,3  ,21.05  ,Pocillopora  ,3  ,63.05  ,,,,,,
4,Pocillopora  ,4  ,23.66  ,Pocillopora  ,5  ,65.9  ,Pocillopora  ,1  ,91.46  ,,,
5,Pocillopora  ,5  ,202.23  ,Pocillopora  ,4  ,267.37  ,Pocillopora  ,3  ,193.04  ,Pocillopora  ,2  ,124.04  
6,Pocillopora  ,6  ,129.22  ,Pocillopora  ,6  ,61.43  ,Pocillopora  ,4  ,76.28  ,,,
7,Pocillopora  ,7  ,63.6  ,Pocillopora  ,7  ,131.92  ,,,,,,
8,Pocillopora  ,8  ,193.98  ,Pocillopora  ,9  ,118.65  ,,,,,,
9,Pocillopora  ,9  ,10.04  ,,,,,,,,,
10,Acropora  ,10  ,10.2  ,Acropora  ,11  ,26.07  ,,,,,,
11,Acropora  ,11  ,115.86  ,Acropora  ,12  ,281.18  ,,,,,,
12,Pocillopora  ,12  ,13.86  ,,,,,,,,,
13,Pocillopora  ,13  ,10.1  ,,,,,,,,,
14,Pocillopora  ,14  ,71.35  ,Pocillopora  ,14  ,47.04  ,Pocillopora  ,10  ,16.29  ,,,
15,Pocillopora  ,15  ,16.17  ,,,,,,,,,
16,Pocillopora  ,16  ,228.61  ,Pocillopora  ,10  ,442.32  ,,,,,,
17,Pocillopora  ,17  ,20.57  ,Pocillopora  ,15  ,68.31  ,,,,,,
18,Pocillopora  ,18  ,84.89  ,Pocillopora  ,18  ,109.13  ,,,,,,
19,Pocillopora  ,19  ,12.39  ,Pocillopora  ,17  ,27.42  ,Pocillopora  ,7  ,38.5  ,,,
20,Pocillopora  ,20  ,22.81  ,,,,,,,,,
21,Pocillopora  ,21  ,3.79  ,Pocillopora  ,16  ,26.21  ,,,,,,
22,Pocillopora  ,22  ,44.41  ,,,,,,,,,
23,Pocillopora  ,23  ,19.49  ,Pocillopora  ,13  ,95.87  ,Pocillopora  ,9  ,73.44  ,,,
24,Pocillopora  Pocillopora  ,24  25  ,12.3  48.3  ,Pocillopora  ,22  ,151.39  ,Pocillopora  ,11  ,174.95  ,,,
25,Pocillopora  ,26  ,84.56  ,Pocillopora  ,20  ,96.62  ,Pocillopora  ,12  ,117.16  ,,,
26,Pocillopora  ,27  ,324.41  ,,,,,,,,,
27,,,,Pocillopora  ,8  ,15.63  ,,,,,,
28,,,,Pocillopora  ,19  ,452.45  ,,,,,,
29,,,,Pocillopora  ,21  ,1.96  ,,,,,,
30,,,,,,,Pocillopora  ,5  ,4.92  ,,,
31,,,,,,,Pocillopora  ,13  ,1.43  ,Pocillopora  ,4  ,10.18  
32,,,,,,,,,,Pocillopora  ,0  ,4.47  
33,,,,,,,,,,Pocillopora  ,1  ,7.98  
34,,,,,,,,,,Pocillopora  ,3  ,1.38  
35,,,,,,,,,,Pocillopora  ,5  ,6.25  
36,,,,,,,,,,Pocillopora  ,6  ,3.91  
