genet,2016_HAA_18 Class name,2016_HAA_18 Object id,2016_HAA_18 Area,2018_HAA_18 Class name,2018_HAA_18 Object id,2018_HAA_18 Area,2020_HAA_18 Class name,2020_HAA_18 Object id,2020_HAA_18 Area,2022_HAA_18 Class name,2022_HAA_18 Object id,2022_HAA_18 Area
0,Pocillopora  ,0  ,71.34  ,Pocillopora  ,0  ,132.37  ,Pocillopora  ,0  ,192.37  ,Pocillopora  ,1  ,171.63  
1,Pocillopora  ,1  ,181.63  ,Pocillopora  ,1  ,464.04  ,Pocillopora  ,13  ,576.68  ,Pocillopora  Pocillopora  ,2  4  ,3.32  2.23  
2,Pocillopora  ,2  ,5.63  ,,,,,,,,,
3,Pocillopora  ,3  ,55.26  ,Pocillopora  ,2  ,32.61  ,,,,,,
4,Pocillopora  ,4  ,7.28  ,,,,,,,,,
5,Pocillopora  ,5  ,290.76  ,Pocillopora  Pocillopora  ,4  5  ,391.24  10.39  ,Pocillopora  Pocillopora  ,1  2  ,251.18  15.9  ,Pocillopora  Pocillopora  Pocillopora  ,6  7  9  ,49.19  28.42  4.06  
6,Pocillopora  ,6  ,37.35  ,Pocillopora  ,9  ,11.62  ,,,,,,
7,Pocillopora  ,7  ,74.89  ,Pocillopora  ,10  ,277.84  ,,,,,,
8,Pocillopora  ,8  ,268.16  ,Pocillopora  ,8  ,472.4  ,Pocillopora  ,5  ,353.27  ,Pocillopora  ,10  ,29.95  
9,Pocillopora  ,9  ,31.52  ,Pocillopora  ,12  ,87.11  ,,,,,,
10,Pocillopora  ,10  ,51.15  ,Pocillopora  ,11  ,86.22  ,,,,,,
11,Pocillopora  ,11  ,5.12  ,,,,,,,,,
12,Pocillopora  ,12  ,36.36  ,,,,,,,,,
13,Acropora  ,13  ,377.67  ,Acropora  ,6  ,784.87  ,,,,,,
14,Pocillopora  ,14  ,25.45  ,Pocillopora  ,17  ,52.56  ,,,,,,
15,Pocillopora  ,15  ,138.26  ,Pocillopora  ,13  ,286.94  ,,,,,,
16,Pocillopora  ,16  ,149.27  ,Pocillopora  ,18  ,434.82  ,,,,,,
17,Pocillopora  Pocillopora  ,17  18  ,43.23  150.01  ,Pocillopora  ,21  ,334.71  ,Pocillopora  Pocillopora  ,9  10  ,23.92  49.06  ,,,
18,Pocillopora  ,19  ,100.86  ,Pocillopora  Pocillopora  ,15  16  ,215.57  21.35  ,Pocillopora  ,8  ,274.51  ,Pocillopora  Pocillopora  ,11  12  ,48.17  58.12  
19,Pocillopora  ,20  ,11.97  ,Pocillopora  ,7  ,41.58  ,,,,,,
20,Pocillopora  ,21  ,91.37  ,Pocillopora  ,14  ,170.19  ,Pocillopora  ,7  ,221.4  ,,,
21,Pocillopora  ,22  ,13.99  ,Pocillopora  ,22  ,43.76  ,Pocillopora  ,12  ,61.16  ,,,
22,Pocillopora  ,23  ,58.23  ,Pocillopora  ,23  ,107.23  ,Pocillopora  ,11  ,11.83  ,Pocillopora  ,13  ,22.29  
23,Pocillopora  ,24  ,2.39  ,Pocillopora  ,3  ,30.54  ,Pocillopora  ,3  ,64.58  ,Pocillopora  ,5  ,51.74  
24,Pocillopora  ,25  ,3.84  ,Pocillopora  ,20  ,10.06  ,Pocillopora  ,6  ,18.38  ,,,
25,,,,Pocillopora  ,19  ,4.16  ,Pocillopora  ,4  ,31.13  ,,,
26,,,,,,,,,,Pocillopora  ,3  ,3.28  
