genet,2016_HAA_14 Class name,2016_HAA_14 Object id,2016_HAA_14 Area,2018_HAA_14 Class name,2018_HAA_14 Object id,2018_HAA_14 Area,2020_HAA_14 Class name,2020_HAA_14 Object id,2020_HAA_14 Area,2022_HAA_14 Class name,2022_HAA_14 Object id,2022_HAA_14 Area
0,Pocillopora  ,0  ,4.13  ,Pocillopora  ,2  ,23.52  ,,,,,,
1,Pocillopora  ,1  ,18.06  ,Pocillopora  ,1  ,62.75  ,Pocillopora  ,19  ,93.05  ,Pocillopora  ,0  ,106.69  
2,Pocillopora  ,2  ,112.67  ,Pocillopora  ,8  ,253.78  ,Pocillopora  ,0  ,301.82  ,Pocillopora  Pocillopora  Pocillopora  ,1  2  14  ,42.48  53.27  6.32  
3,Pocillopora  ,3  ,1.45  ,,,,,,,,,
4,Pocillopora  ,4  ,50.62  ,Pocillopora  ,11  ,77.5  ,,,,,,
5,Pocillopora  ,5  ,29.22  ,Pocillopora  ,13  ,73.02  ,Pocillopora  ,7  ,102.76  ,,,
6,Pocillopora  ,6  ,81.68  ,Pocillopora  ,14  ,163.31  ,,,,,,
7,Pocillopora  ,7  ,61.91  ,,,,,,,,,
8,Pocillopora  ,8  ,40.36  ,Pocillopora  ,15  ,84.82  ,,,,,,
9,Pocillopora  ,9  ,29.47  ,Pocillopora  ,16  ,73.01  ,Pocillopora  ,6  ,92.03  ,Pocillopora  ,10  ,75.02  
10,Pocillopora  Pocillopora  ,10  12  ,30.54  312.62  ,Pocillopora  ,22  ,791.33  ,Pocillopora  Pocillopora  ,4  5  ,222.11  14.54  ,Pocillopora  ,9  ,20.76  
11,Pocillopora  ,11  ,9.04  ,Pocillopora  ,23  ,7.79  ,,,,,,
12,Pocillopora  ,13  ,9.7  ,,,,,,,,,
13,Pocillopora  ,14  ,18.33  ,,,,,,,,,
14,Pocillopora  ,15  ,22.56  ,Pocillopora  ,17  ,46.47  ,Pocillopora  ,13  ,36.55  ,,,
15,Pocillopora  ,16  ,22.62  ,,,,,,,,,
16,Pocillopora  ,17  ,329.97  ,,,,,,,,,
17,Pocillopora  ,18  ,4.3  ,,,,,,,,,
18,Pocillopora  ,19  ,6.19  ,Pocillopora  ,24  ,12.89  ,Pocillopora  ,14  ,21.37  ,,,
19,Pocillopora  ,20  ,1.42  ,,,,,,,,,
20,Pocillopora  ,21  ,4.1  ,Pocillopora  ,9  ,10.17  ,Pocillopora  ,1  ,15.36  ,,,
21,Pocillopora  ,22  ,3.73  ,Pocillopora  ,10  ,23.25  ,Pocillopora  ,2  ,75.04  ,,,
22,Pocillopora  ,23  ,2.01  ,Pocillopora  ,25  ,51.93  ,,,,,,
23,,,,Pocillopora  ,0  ,6.41  ,,,,,,
24,,,,Pocillopora  ,7  ,1.09  ,,,,,,
25,,,,Pocillopora  ,18  ,17.82  ,,,,,,
26,,,,Acropora  ,19  ,40.02  ,,,,,,
27,,,,Pocillopora  ,20  ,26.9  ,Pocillopora  ,16  ,154.61  ,,,
28,,,,Pocillopora  ,21  ,11.48  ,Pocillopora  ,15  ,47.84  ,,,
29,,,,,,,Pocillopora  ,3  ,46.1  ,Pocillopora  ,4  ,67.68  
30,,,,,,,Pocillopora  ,9  ,1.91  ,,,
31,,,,,,,Pocillopora  ,10  ,4.78  ,,,
32,,,,,,,Pocillopora  ,11  ,8.3  ,,,
33,,,,,,,Pocillopora  ,12  ,6.6  ,,,
34,,,,,,,Pocillopora  ,17  ,9.47  ,,,
35,,,,,,,Pocillopora  ,20  ,9.19  ,,,
36,,,,,,,Pocillopora  ,21  ,2.47  ,,,
37,,,,,,,,,,Acropora  ,3  ,16.94  
38,,,,,,,,,,Pocillopora  ,5  ,6.26  
39,,,,,,,,,,Pocillopora  ,6  ,3.49  
40,,,,,,,,,,Pocillopora  ,7  ,7.87  
41,,,,,,,,,,Pocillopora  ,8  ,7.44  
42,,,,,,,,,,Acropora  ,11  ,7.14  
43,,,,,,,,,,Acropora  ,12  ,5.22  
44,,,,,,,,,,Pocillopora  ,13  ,2.34  
