genet,2016_E2B_9 Class name,2016_E2B_9 Object id,2016_E2B_9 Area,2018_E2B_9 Class name,2018_E2B_9 Object id,2018_E2B_9 Area,2020_E2B_9 Class name,2020_E2B_9 Object id,2020_E2B_9 Area,2022_E2B_9 Class name,2022_E2B_9 Object id,2022_E2B_9 Area
0,Pocillopora  ,0  ,192.26  ,Pocillopora  ,0  ,398.25  ,,,,,,
1,Pocillopora  ,1  ,50.55  ,Pocillopora  ,32  ,54.87  ,,,,,,
2,Pocillopora  ,2  ,89.54  ,Pocillopora  ,4  ,224.56  ,Pocillopora  ,13  ,109.96  ,Pocillopora  ,2  ,47.9  
3,Acropora  ,3  ,79.8  ,Acropora  ,5  ,89.34  ,Acropora  Acropora  Acropora  ,15  14  37  ,6.07  9.04  3.67  ,Acropora  ,3  ,27.55  
4,Pocillopora  ,4  ,65.06  ,Pocillopora  ,7  ,49.68  ,Pocillopora  ,22  ,19.42  ,,,
5,Pocillopora  ,5  ,144.07  ,Pocillopora  ,6  ,208.7  ,,,,,,
6,Pocillopora  ,6  ,94.55  ,Pocillopora  ,1  ,300.48  ,,,,,,
7,Pocillopora  ,7  ,96.57  ,Pocillopora  ,2  ,123.47  ,,,,,,
8,Pocillopora  ,8  ,74.14  ,Pocillopora  ,3  ,165.08  ,Pocillopora  ,12  ,206.38  ,,,
9,Pocillopora  ,9  ,62.46  ,Pocillopora  ,27  ,204.97  ,Pocillopora  ,11  ,251.21  ,Pocillopora  ,10  ,189.23  
10,Acropora  ,10  ,126.8  ,,,,,,,,,
11,Pocillopora  Pocillopora  ,11  13  ,146.94  85.41  ,Pocillopora  ,29  ,206.7  ,Pocillopora  Pocillopora  ,5  6  ,87.8  7.77  ,Pocillopora  ,12  ,10.87  
12,Pocillopora  ,12  ,274.88  ,Pocillopora  ,9  ,162.45  ,,,,,,
13,Pocillopora  ,14  ,155.66  ,Pocillopora  ,30  ,158.79  ,Pocillopora  ,3  ,163.52  ,Pocillopora  ,6  ,55.42  
14,Pocillopora  ,16  ,131.03  ,Pocillopora  ,28  ,327.06  ,,,,,,
