genet,2016_E2B_9 Class name,2016_E2B_9 Object id,2016_E2B_9 Area,2018_E2B_9 Class name,2018_E2B_9 Object id,2018_E2B_9 Area,2020_E2B_9 Class name,2020_E2B_9 Object id,2020_E2B_9 Area,2022_E2B_9 Class name,2022_E2B_9 Object id,2022_E2B_9 Area
15,Pocillopora  ,17  ,43.88  ,Pocillopora  ,26  ,126.02  ,Pocillopora  ,9  ,128.84  ,,,
16,Pocillopora  Pocillopora  Pocillopora  ,18  19  20  ,45.95  48.19  13.52  ,Pocillopora  ,25  ,163.86  ,,,,,,
17,Pocillopora  ,21  ,115.87  ,Pocillopora  ,24  ,79.62  ,,,,,,
18,Pocillopora  ,22  ,61.35  ,Pocillopora  ,23  ,68.79  ,Pocillopora  ,7  ,88.5  ,,,
19,Acropora  ,23  ,74.11  ,Acropora  ,22  ,182.11  ,Acropora  ,10  ,101.61  ,Acropora  ,13  ,57.78  
20,Pocillopora  ,24  ,85.79  ,Pocillopora  ,19  ,85.65  ,Pocillopora  Pocillopora  ,26  27  ,55.13  36.79  ,,,
21,Pocillopora  ,25  ,135.4  ,Pocillopora  ,20  ,204.38  ,Pocillopora  ,28  ,176.75  ,,,
22,Pocillopora  ,26  ,41.6  ,,,,,,,,,
23,Pocillopora  ,27  ,52.28  ,,,,,,,,,
24,Pocillopora  ,28  ,66.47  ,Pocillopora  ,15  ,143.04  ,,,,,,
25,Pocillopora  ,29  ,123.94  ,Pocillopora  ,16  ,147.36  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,31  32  33  34  35  ,1.54  1.95  7.94  11.83  1.68  ,,,
26,Pocillopora  ,30  ,203.1  ,Pocillopora  ,8  ,306.76  ,Pocillopora  ,21  ,106.11  ,Pocillopora  ,9  ,121.75  
27,Pocillopora  ,31  ,107.44  ,Pocillopora  ,10  ,168.26  ,Pocillopora  ,20  ,32.3  ,,,
28,Pocillopora  ,32  ,17.38  ,,,,,,,,,
29,Pocillopora  ,33  ,116.92  ,Pocillopora  ,13  ,450.08  ,Pocillopora  ,23  ,129.33  ,,,
30,Pocillopora  ,34  ,82.51  ,Pocillopora  ,11  ,263.68  ,Pocillopora  Pocillopora  Pocillopora  ,17  18  19  ,16.07  2.08  3.17  ,,,
31,Pocillopora  ,35  ,14.59  ,Pocillopora  ,12  ,17.85  ,,,,,,
32,Pocillopora  ,36  ,42.37  ,,,,,,,,,
33,Pocillopora  ,37  ,21.47  ,Pocillopora  ,18  ,81.75  ,Pocillopora  ,25  ,95.56  ,,,
34,Pocillopora  ,38  ,13.41  ,Pocillopora  ,17  ,23.79  ,Pocillopora  ,24  ,32.87  ,,,
35,Pocillopora  ,39  ,3.02  ,Pocillopora  ,31  ,53.7  ,Pocillopora  ,2  ,96.5  ,Pocillopora  ,0  ,124.3  
36,,,,Acropora  ,14  ,12.63  ,,,,,,
37,,,,Pocillopora  ,21  ,15.9  ,Pocillopora  Pocillopora  ,29  30  ,4.27  6.77  ,,,
38,,,,Pocillopora  ,33  ,9.83  ,,,,,,
39,,,,Pocillopora  ,34  ,3.52  ,,,,,,
40,,,,Acropora  Acropora  ,35  36  ,8.21  4.86  ,Acropora  Acropora  ,0  1  ,43.7  17.16  ,Acropora  ,1  ,85.14  
41,,,,,,,Acropora  ,4  ,2.25  ,Acropora  ,7  ,8.0  
42,,,,,,,Pocillopora  ,8  ,32.58  ,,,
43,,,,,,,Acropora  ,16  ,1.64  ,Acropora  ,5  ,13.94  
44,,,,,,,Pocillopora  ,36  ,1.47  ,,,
45,,,,,,,Pocillopora  ,44  ,5.53  ,Pocillopora  ,14  ,13.31  
46,,,,,,,,,,Pocillopora  ,4  ,5.51  
47,,,,,,,,,,Pocillopora  ,8  ,7.51  
48,,,,,,,,,,Pocillopora  ,11  ,0.75  
