genet,E2B_1_2016(2 is 1) Class name,E2B_1_2016(2 is 1) Object id,E2B_1_2016(2 is 1) Area,E2B_1_2018 Class name,E2B_1_2018 Object id,E2B_1_2018 Area,E2B_2_2020(is 1) Class name,E2B_2_2020(is 1) Object id,E2B_2_2020(is 1) Area,E2B_2022_1(2 is 1) Class name,E2B_2022_1(2 is 1) Object id,E2B_2022_1(2 is 1) Area
0,Acropora  ,0  ,215.78  ,Acropora  ,24  ,399.28  ,,,,,,
1,Pocillopora  ,1  ,205.45  ,Pocillopora  ,8  ,364.5  ,Pocillopora  ,3  ,122.23  ,,,
2,Pocillopora  ,2  ,88.14  ,Pocillopora  ,4  ,164.76  ,Pocillopora  ,6  ,177.72  ,,,
3,Pocillopora  ,3  ,50.12  ,,,,,,,,,
4,Pocillopora  ,4  ,51.69  ,Pocillopora  ,1  ,119.9  ,Pocillopora  ,7  ,103.69  ,,,
5,Acropora  ,5  ,44.19  ,Acropora  ,0  ,195.82  ,,,,,,
6,Pocillopora  ,6  ,73.18  ,Pocillopora  ,3  ,155.09  ,Pocillopora  ,8  ,162.64  ,,,
7,Pocillopora  ,7  ,61.17  ,Pocillopora  ,13  ,119.89  ,Pocillopora  ,9  ,116.05  ,Pocillopora  ,1  ,19.49  
8,Pocillopora  ,8  ,25.64  ,Pocillopora  ,26  ,47.68  ,,,,,,
9,Pocillopora  ,9  ,82.72  ,Pocillopora  ,15  ,90.68  ,,,,,,
10,Pocillopora  ,10  ,49.85  ,Pocillopora  ,16  ,114.72  ,Pocillopora  ,13  ,25.38  ,,,
11,Pocillopora  ,11  ,4.41  ,Pocillopora  ,2  ,20.83  ,,,,,,
12,Pocillopora  ,12  ,2.82  ,,,,,,,,,
13,Acropora  ,13  ,127.56  ,Acropora  ,5  ,291.73  ,,,,,,
14,Pocillopora  ,14  ,19.35  ,Pocillopora  ,21  ,29.77  ,Pocillopora  ,19  ,7.56  ,,,
15,Acropora  ,15  ,41.92  ,Acropora  ,6  ,125.19  ,Acropora  ,4  ,136.6  ,Acropora  ,0  ,157.56  
16,Pocillopora  ,16  ,45.85  ,Pocillopora  ,7  ,92.99  ,Pocillopora  ,5  ,55.66  ,,,
17,Pocillopora  ,17  ,87.94  ,,,,,,,,,
18,Pocillopora  ,18  ,54.08  ,Pocillopora  ,22  ,115.88  ,,,,,,
19,Pocillopora  ,19  ,42.54  ,Pocillopora  ,19  ,29.05  ,Pocillopora  ,17  ,15.26  ,,,
20,Pocillopora  ,20  ,63.68  ,Pocillopora  ,18  ,22.02  ,Pocillopora  ,18  ,32.98  ,,,
21,Pocillopora  ,21  ,60.81  ,Pocillopora  ,23  ,65.1  ,,,,,,
22,Pocillopora  ,22  ,19.99  ,,,,,,,,,
23,Pocillopora  ,23  ,185.49  ,Pocillopora  ,12  ,475.91  ,,,,,,
24,Pocillopora  ,24  ,41.1  ,Pocillopora  ,11  ,107.24  ,,,,,,
25,Pocillopora  ,26  ,15.14  ,,,,,,,,,
26,Pocillopora  ,27  ,77.98  ,Pocillopora  ,9  ,157.62  ,Pocillopora  ,0  ,154.72  ,,,
27,Pocillopora  ,28  ,184.04  ,Pocillopora  ,10  ,289.18  ,Pocillopora  Pocillopora  ,1  2  ,142.52  11.31  ,,,
28,Pocillopora  ,29  ,124.19  ,Pocillopora  ,31  ,62.81  ,,,,,,
29,Acropora  ,30  ,35.45  ,,,,,,,,,
30,Pocillopora  ,31  ,24.76  ,Pocillopora  ,32  ,52.38  ,Pocillopora  ,26  ,54.15  ,Pocillopora  ,7  ,41.38  
31,Pocillopora  ,32  ,35.69  ,Pocillopora  ,29  ,106.14  ,,,,,,
32,Pocillopora  ,33  ,52.45  ,,,,,,,,,
33,Pocillopora  ,34  ,68.14  ,Pocillopora  ,27  ,98.64  ,Pocillopora  ,25  ,54.62  ,,,
34,Acropora  ,35  ,25.77  ,Acropora  ,25  ,40.93  ,,,,,,
35,Pocillopora  ,36  ,7.54  ,,,,,,,,,
36,Pocillopora  ,37  ,73.14  ,Pocillopora  ,28  ,260.74  ,Pocillopora  Pocillopora  ,20  21  ,94.92  224.52  ,Pocillopora  ,6  ,233.21  
37,Acropora  ,38  ,7.95  ,Acropora  ,14  ,28.18  ,Acropora  ,10  ,36.74  ,Acropora  ,2  ,16.81  
38,,,,Pocillopora  ,17  ,59.88  ,Pocillopora  Pocillopora  ,11  12  ,4.5  6.07  ,,,
39,,,,,,,Pocillopora  ,14  ,8.0  ,Pocillopora  ,3  ,5.34  
40,,,,,,,Pocillopora  ,15  ,6.56  ,,,
41,,,,,,,Acropora  ,16  ,14.8  ,Acropora  ,5  ,31.77  
42,,,,,,,Pocillopora  ,23  ,15.97  ,,,
43,,,,,,,Pocillopora  ,24  ,5.51  ,,,
44,,,,,,,,,,Pocillopora  ,4  ,4.96  
