genet,2016_E2B_17 Class name,2016_E2B_17 Object id,2016_E2B_17 Area,E2B_17_2018 Class name,E2B_17_2018 Object id,E2B_17_2018 Area,E2B_17_2020 Class name,E2B_17_2020 Object id,E2B_17_2020 Area,E2B_17_2022 Class name,E2B_17_2022 Object id,E2B_17_2022 Area
0,Pocillopora  ,0  ,3.38  ,Pocillopora  ,4  ,5.6  ,,,,,,
1,Pocillopora  ,1  ,42.37  ,Pocillopora  ,1  ,73.14  ,Pocillopora  Pocillopora  ,3  4  ,30.75  2.15  ,,,
2,Pocillopora  ,3  ,3.59  ,,,,,,,,,
3,Pocillopora  ,4  ,10.39  ,Pocillopora  ,16  ,67.55  ,Pocillopora  ,9  ,30.26  ,,,
4,Acropora  ,5  ,13.59  ,Acropora  ,13  ,8.48  ,,,,,,
5,Acropora  ,6  ,129.42  ,Acropora  ,11  ,177.11  ,,,,,,
6,Pocillopora  ,7  ,41.45  ,Pocillopora  ,10  ,26.68  ,,,,,,
7,Pocillopora  Pocillopora  ,8  9  ,3.61  65.0  ,Pocillopora  Pocillopora  ,8  9  ,60.41  38.05  ,Pocillopora  Pocillopora  ,6  7  ,69.16  46.99  ,Pocillopora  ,1  ,115.09  
8,Pocillopora  ,10  ,146.59  ,Pocillopora  ,0  ,298.24  ,Pocillopora  ,0  ,340.21  ,Pocillopora  ,0  ,286.25  
9,Pocillopora  ,11  ,6.64  ,,,,,,,,,
10,Pocillopora  ,12  ,14.12  ,Pocillopora  ,15  ,40.84  ,Pocillopora  Pocillopora  ,26  27  ,6.04  3.11  ,,,
11,Pocillopora  ,13  ,25.27  ,Pocillopora  ,12  ,151.73  ,Pocillopora  ,8  ,241.58  ,Pocillopora  Pocillopora  Pocillopora  ,3  4  5  ,135.76  1.35  2.94  
12,Pocillopora  ,14  ,3.7  ,,,,,,,,,
13,Pocillopora  ,15  ,2.25  ,,,,,,,,,
14,Pocillopora  ,16  ,6.16  ,Pocillopora  ,18  ,93.65  ,Pocillopora  ,11  ,147.39  ,Pocillopora  ,7  ,213.72  
15,Pocillopora  ,17  ,4.13  ,,,,,,,,,
16,Pocillopora  ,18  ,28.96  ,Pocillopora  ,20  ,139.26  ,,,,,,
17,Pocillopora  ,19  ,79.57  ,Pocillopora  ,19  ,231.84  ,Pocillopora  ,20  ,281.41  ,Pocillopora  ,8  ,240.16  
18,Pocillopora  ,20  ,8.83  ,Pocillopora  ,25  ,85.64  ,Pocillopora  ,13  ,93.04  ,Pocillopora  Pocillopora  Pocillopora  ,9  10  23  ,57.41  31.14  2.86  
19,Pocillopora  ,21  ,128.66  ,Pocillopora  ,26  ,298.34  ,Pocillopora  ,14  ,371.79  ,Pocillopora  Pocillopora  Pocillopora  ,13  14  18  ,165.34  11.73  2.85  
20,Pocillopora  ,22  ,3.98  ,,,,,,,,,
21,Acropora  Acropora  ,23  24  ,19.51  6.84  ,Acropora  ,23  ,123.86  ,,,,,,
22,Pocillopora  ,25  ,193.15  ,Pocillopora  ,27  ,357.35  ,Pocillopora  Pocillopora  ,22  23  ,12.32  10.94  ,,,
23,Pocillopora  ,26  ,17.56  ,Pocillopora  ,30  ,130.27  ,Pocillopora  ,15  ,180.44  ,Pocillopora  ,20  ,142.9  
24,Pocillopora  ,28  ,30.54  ,Pocillopora  ,29  ,75.67  ,Pocillopora  ,24  ,106.61  ,Pocillopora  ,21  ,87.16  
25,,,,Pocillopora  ,2  ,5.33  ,,,,,,
26,,,,Pocillopora  ,3  ,3.9  ,,,,,,
27,,,,Acropora  ,5  ,5.39  ,,,,,,
28,,,,Pocillopora  ,6  ,19.43  ,Pocillopora  ,12  ,43.88  ,Pocillopora  ,12  ,49.48  
29,,,,Pocillopora  ,7  ,14.04  ,Pocillopora  ,5  ,27.67  ,Pocillopora  ,2  ,32.91  
30,,,,Pocillopora  ,14  ,314.07  ,,,,,,
31,,,,Acropora  ,17  ,34.5  ,Acropora  ,10  ,45.38  ,Acropora  ,6  ,124.15  
32,,,,Acropora  ,21  ,9.59  ,,,,,,
33,,,,Pocillopora  ,22  ,36.97  ,Pocillopora  Pocillopora  Pocillopora  ,16  17  18  ,7.96  8.98  30.96  ,,,
34,,,,Pocillopora  ,24  ,61.05  ,Pocillopora  ,21  ,114.95  ,Pocillopora  ,11  ,108.48  
35,,,,Acropora  ,28  ,11.88  ,Acropora  ,25  ,5.2  ,Acropora  ,17  ,14.12  
36,,,,Pocillopora  ,31  ,18.04  ,Pocillopora  ,28  ,17.42  ,,,
37,,,,,,,Pocillopora  ,19  ,11.93  ,,,
38,,,,,,,,,,Pocillopora  ,22  ,4.14  
