genet,2016_E2B_18 Class name,2016_E2B_18 Object id,2016_E2B_18 Area,E2B_18_2018 Class name,E2B_18_2018 Object id,E2B_18_2018 Area,E2B_18_2020 Class name,E2B_18_2020 Object id,E2B_18_2020 Area,E2B_18_2022 Class name,E2B_18_2022 Object id,E2B_18_2022 Area
0,Pocillopora  ,0  ,11.42  ,,,,,,,,,
1,Pocillopora  ,1  ,310.42  ,Pocillopora  ,0  ,494.15  ,Pocillopora  ,0  ,450.86  ,Pocillopora  Pocillopora  Pocillopora  ,0  1  3  ,52.6  7.93  187.91  
2,Pocillopora  ,2  ,90.44  ,Pocillopora  ,2  ,278.94  ,,,,,,
3,Pocillopora  ,3  ,37.75  ,Pocillopora  ,4  ,56.16  ,,,,,,
4,Pocillopora  ,4  ,1.35  ,Pocillopora  ,9  ,165.67  ,Pocillopora  ,29  ,246.52  ,Pocillopora  ,4  ,295.6  
5,Pocillopora  Pocillopora  ,5  8  ,2.84  1.91  ,Pocillopora  ,12  ,1.72  ,,,,,,
6,Acropora  ,6  ,5.88  ,,,,,,,,,
7,Pocillopora  ,7  ,61.92  ,Pocillopora  ,3  ,132.72  ,Pocillopora  ,4  ,117.19  ,Pocillopora  ,9  ,28.89  
8,Pocillopora  ,9  ,57.92  ,Pocillopora  ,22  ,123.75  ,Pocillopora  Pocillopora  ,14  15  ,145.34  8.9  ,Pocillopora  ,11  ,10.92  
9,Pocillopora  ,10  ,47.68  ,Pocillopora  ,19  ,3.85  ,,,,,,
10,Pocillopora  ,11  ,4.24  ,,,,,,,,,
11,Pocillopora  ,12  ,7.56  ,Pocillopora  ,18  ,82.54  ,Pocillopora  Pocillopora  Pocillopora  ,1  2  3  ,50.39  1.51  2.46  ,,,
12,Pocillopora  ,15  ,60.21  ,Pocillopora  ,20  ,120.85  ,Pocillopora  ,5  ,156.37  ,Pocillopora  ,10  ,158.02  
13,Pocillopora  ,16  ,21.62  ,Pocillopora  ,21  ,54.15  ,,,,,,
14,Pocillopora  ,17  ,5.74  ,,,,,,,,,
15,Pocillopora  ,18  ,8.34  ,Pocillopora  ,23  ,32.84  ,Pocillopora  ,13  ,46.85  ,,,
16,Acropora  ,19  ,141.62  ,Acropora  ,24  ,436.84  ,Acropora  ,16  ,470.64  ,Acropora  ,19  ,495.75  
17,Acropora  ,20  ,11.08  ,Acropora  ,27  ,107.19  ,,,,,,
18,Pocillopora  Pocillopora  Pocillopora  ,21  22  23  ,28.23  61.64  8.31  ,Pocillopora  ,26  ,106.03  ,Pocillopora  ,18  ,129.67  ,Pocillopora  Pocillopora  Pocillopora  ,15  17  16  ,5.1  13.51  19.41  
19,Pocillopora  ,24  ,14.54  ,Pocillopora  ,30  ,61.46  ,Pocillopora  ,12  ,85.81  ,Pocillopora  ,12  ,67.38  
20,Pocillopora  ,25  ,62.45  ,Pocillopora  ,31  ,165.89  ,Pocillopora  ,6  ,179.23  ,,,
21,Pocillopora  ,28  ,50.54  ,Pocillopora  ,32  ,83.42  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,7  8  9  10  11  ,4.64  1.32  2.71  2.01  1.79  ,,,
22,Pocillopora  ,29  ,310.01  ,Pocillopora  ,29  ,481.85  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,22  21  20  19  ,5.27  163.45  38.38  52.84  ,Pocillopora  ,14  ,8.59  
23,,,,Pocillopora  ,1  ,62.19  ,,,,,,
24,,,,Acropora  ,5  ,3.58  ,,,,,,
25,,,,Acropora  ,6  ,3.51  ,,,,,,
26,,,,Acropora  ,7  ,3.19  ,,,,,,
27,,,,Pocillopora  ,8  ,9.79  ,,,,,,
28,,,,Pocillopora  ,10  ,26.95  ,,,,,,
29,,,,Pocillopora  ,11  ,40.51  ,Pocillopora  ,30  ,68.78  ,Pocillopora  ,7  ,81.27  
30,,,,Pocillopora  ,13  ,7.85  ,Pocillopora  ,28  ,10.12  ,Pocillopora  ,5  ,56.54  
31,,,,Pocillopora  Pocillopora  ,14  15  ,5.13  3.76  ,Pocillopora  ,24  ,26.82  ,Pocillopora  ,2  ,23.1  
32,,,,Pocillopora  ,16  ,3.2  ,,,,,,
33,,,,Pocillopora  ,17  ,14.62  ,,,,,,
34,,,,Pocillopora  ,25  ,87.6  ,Pocillopora  ,17  ,91.9  ,Pocillopora  ,13  ,100.49  
35,,,,Pocillopora  ,28  ,51.19  ,,,,,,
36,,,,Pocillopora  ,33  ,27.67  ,Pocillopora  ,23  ,21.61  ,Pocillopora  ,20  ,37.04  
37,,,,,,,Pocillopora  ,25  ,6.85  ,,,
38,,,,,,,Pocillopora  ,26  ,7.32  ,,,
39,,,,,,,Acropora  ,27  ,9.67  ,Acropora  ,6  ,46.8  
40,,,,,,,Pocillopora  ,31  ,4.2  ,,,
41,,,,,,,Acropora  ,32  ,4.92  ,Acropora  ,8  ,28.03  
42,,,,,,,,,,Pocillopora  ,21  ,2.68  
