genet,2016_E2B_6 Class name,2016_E2B_6 Object id,2016_E2B_6 Area,2018_E2B_6 Class name,2018_E2B_6 Object id,2018_E2B_6 Area,2020_E2B_6 Class name,2020_E2B_6 Object id,2020_E2B_6 Area,2022_E2B_6 Class name,2022_E2B_6 Object id,2022_E2B_6 Area
0,Pocillopora  ,0  ,41.08  ,Pocillopora  ,1  ,105.01  ,,,,,,
1,Pocillopora  ,1  ,82.25  ,Pocillopora  ,24  ,177.78  ,Pocillopora  Pocillopora  ,0  1  ,115.09  26.58  ,,,
2,Acropora  ,2  ,4.71  ,Acropora  ,27  ,32.8  ,,,,,,
3,Pocillopora  ,4  ,408.86  ,Pocillopora  ,4  ,1008.87  ,,,,,,
4,Pocillopora  ,5  ,76.33  ,Pocillopora  ,3  ,173.06  ,Pocillopora  ,3  ,54.9  ,Pocillopora  ,1  ,53.32  
5,Acropora  Acropora  ,6  8  ,36.77  23.1  ,Acropora  ,6  ,41.23  ,,,,,,
6,Acropora  ,7  ,22.65  ,Acropora  ,5  ,21.68  ,,,,,,
7,Pocillopora  ,9  ,82.74  ,Pocillopora  Pocillopora  ,9  10  ,2.18  4.25  ,,,,,,
8,Pocillopora  Pocillopora  ,10  11  ,68.37  42.11  ,Pocillopora  ,7  ,105.26  ,,,,,,
9,Pocillopora  ,12  ,154.79  ,Pocillopora  ,8  ,278.56  ,Pocillopora  ,13  ,193.38  ,Pocillopora  ,7  ,121.8  
10,Pocillopora  ,13  ,71.68  ,Pocillopora  ,13  ,18.62  ,,,,,,
11,Pocillopora  ,14  ,113.42  ,Pocillopora  ,11  ,210.29  ,Pocillopora  ,4  ,244.68  ,Pocillopora  ,3  ,197.3  
12,Pocillopora  ,15  ,32.2  ,,,,,,,,,
13,Pocillopora  ,16  ,20.05  ,,,,,,,,,
14,Pocillopora  ,17  ,37.13  ,Pocillopora  ,12  ,71.99  ,Pocillopora  ,5  ,24.7  ,,,
15,Pocillopora  ,18  ,221.45  ,Pocillopora  ,22  ,535.77  ,,,,,,
16,Pocillopora  ,19  ,170.6  ,Pocillopora  ,0  ,413.17  ,,,,,,
17,Pocillopora  ,20  ,18.62  ,,,,,,,,,
18,Pocillopora  ,21  ,7.6  ,,,,,,,,,
19,Pocillopora  ,24  ,11.62  ,Pocillopora  ,33  ,53.29  ,,,,,,
20,Pocillopora  Pocillopora  ,25  26  ,12.52  7.77  ,Pocillopora  ,32  ,121.84  ,Pocillopora  ,11  ,148.35  ,Pocillopora  ,14  ,142.21  
21,Pocillopora  ,27  ,221.21  ,Pocillopora  ,25  ,265.63  ,Pocillopora  ,6  ,230.08  ,Pocillopora  ,4  ,142.46  
22,Pocillopora  ,28  ,9.44  ,Pocillopora  ,26  ,61.4  ,,,,,,
23,Pocillopora  ,29  ,123.2  ,Pocillopora  Pocillopora  ,19  20  ,253.01  31.16  ,Pocillopora  ,7  ,223.89  ,Pocillopora  ,6  ,60.97  
24,Pocillopora  Pocillopora  Pocillopora  ,30  31  32  ,61.33  169.39  31.75  ,Pocillopora  ,18  ,587.27  ,Pocillopora  ,8  ,131.93  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,10  11  12  13  ,1.08  12.42  0.73  2.28  
25,Pocillopora  ,33  ,18.34  ,Pocillopora  ,17  ,18.45  ,,,,,,
26,Pocillopora  ,34  ,91.83  ,Pocillopora  Pocillopora  ,14  16  ,35.85  28.8  ,,,,,,
27,Pocillopora  ,35  ,35.07  ,Pocillopora  ,29  ,59.71  ,Pocillopora  ,9  ,53.82  ,Pocillopora  ,5  ,74.04  
28,Pocillopora  Pocillopora  ,36  38  ,24.7  38.05  ,Pocillopora  ,28  ,74.39  ,Pocillopora  ,10  ,35.48  ,,,
29,Pocillopora  ,37  ,38.51  ,Pocillopora  ,30  ,21.83  ,,,,,,
30,Pocillopora  ,39  ,24.83  ,,,,,,,,,
31,Pocillopora  ,40  ,94.4  ,Pocillopora  ,31  ,129.05  ,,,,,,
32,Acropora  ,41  ,10.57  ,Acropora  ,23  ,54.7  ,Acropora  ,2  ,19.07  ,,,
33,,,,Pocillopora  ,2  ,8.26  ,Pocillopora  ,17  ,19.24  ,Pocillopora  ,0  ,24.61  
34,,,,Pocillopora  ,15  ,12.52  ,,,,,,
35,,,,Pocillopora  ,21  ,4.97  ,Pocillopora  ,16  ,30.62  ,,,
36,,,,,,,Acropora  ,12  ,3.97  ,Acropora  ,8  ,7.58  
37,,,,,,,Acropora  ,14  ,6.3  ,Acropora  ,9  ,29.73  
38,,,,,,,Pocillopora  ,15  ,0.62  ,Pocillopora  ,2  ,10.3  
