genet,2016_E2B_19 Class name,2016_E2B_19 Object id,2016_E2B_19 Area,E2B_19_2018 Class name,E2B_19_2018 Object id,E2B_19_2018 Area,E2B_19_2020 Class name,E2B_19_2020 Object id,E2B_19_2020 Area,E2B_19_2022 Class name,E2B_19_2022 Object id,E2B_19_2022 Area
0,Pocillopora  ,2  ,169.2  ,Pocillopora  ,8  ,244.69  ,Pocillopora  ,17  ,46.9  ,,,
1,Pocillopora  ,3  ,44.33  ,Pocillopora  ,2  ,57.83  ,,,,,,
2,Pocillopora  ,5  ,133.63  ,Pocillopora  Pocillopora  ,11  12  ,221.69  77.9  ,Pocillopora  ,8  ,231.87  ,Pocillopora  Pocillopora  ,1  2  ,1.8  16.57  
3,Acropora  ,6  ,7.7  ,,,,,,,,,
4,Pocillopora  ,7  ,49.99  ,Pocillopora  ,14  ,156.3  ,Pocillopora  ,7  ,96.35  ,,,
5,Pocillopora  ,8  ,75.53  ,Pocillopora  ,13  ,166.14  ,Pocillopora  ,6  ,7.04  ,,,
6,Pocillopora  ,9  ,18.42  ,Pocillopora  ,16  ,32.6  ,Pocillopora  ,5  ,14.69  ,,,
7,Pocillopora  ,10  ,161.96  ,Pocillopora  ,10  ,320.1  ,Pocillopora  ,14  ,267.75  ,,,
8,Pocillopora  ,11  ,64.69  ,Pocillopora  ,0  ,147.46  ,Pocillopora  ,15  ,179.31  ,Pocillopora  ,0  ,109.95  
9,Pocillopora  ,12  ,103.77  ,Pocillopora  Pocillopora  ,6  7  ,176.7  25.28  ,,,,,,
10,Pocillopora  ,13  ,99.32  ,Pocillopora  ,1  ,147.78  ,Pocillopora  ,19  ,120.86  ,,,
11,Pocillopora  ,14  ,150.29  ,Pocillopora  ,15  ,151.83  ,Pocillopora  ,13  ,32.12  ,,,
12,Pocillopora  Pocillopora  ,15  17  ,17.0  176.05  ,Pocillopora  ,17  ,336.37  ,Pocillopora  ,4  ,317.92  ,Pocillopora  ,5  ,138.22  
13,Pocillopora  ,16  ,45.84  ,,,,,,,,,
14,Pocillopora  ,18  ,18.87  ,Pocillopora  ,21  ,62.37  ,Pocillopora  ,21  ,9.86  ,,,
15,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,19  20  21  28  ,66.88  30.38  34.42  35.83  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,18  19  20  30  ,195.17  4.57  4.53  3.33  ,Pocillopora  Pocillopora  ,20  28  ,23.73  14.9  ,Pocillopora  Pocillopora  ,4  10  ,64.53  50.08  
16,Pocillopora  ,22  ,58.84  ,Pocillopora  ,36  ,42.39  ,Pocillopora  ,3  ,12.35  ,,,
17,Pocillopora  ,23  ,44.47  ,Pocillopora  ,34  ,136.63  ,,,,,,
18,Pocillopora  ,24  ,182.89  ,Pocillopora  ,33  ,303.22  ,Pocillopora  ,30  ,9.1  ,,,
19,Pocillopora  ,25  ,2.79  ,,,,,,,,,
20,Pocillopora  ,26  ,12.28  ,Pocillopora  ,31  ,87.36  ,Pocillopora  ,1  ,73.75  ,Pocillopora  ,14  ,119.94  
21,Pocillopora  ,27  ,3.33  ,Pocillopora  ,32  ,36.13  ,,,,,,
22,Pocillopora  ,29  ,32.24  ,Pocillopora  ,22  ,154.37  ,Pocillopora  ,24  ,192.81  ,Pocillopora  ,16  ,214.93  
23,Pocillopora  Pocillopora  ,30  31  ,45.48  68.88  ,Pocillopora  Pocillopora  ,40  42  ,148.05  15.04  ,Pocillopora  ,29  ,166.0  ,Pocillopora  ,13  ,125.69  
24,Pocillopora  ,32  ,41.5  ,Pocillopora  ,39  ,27.33  ,,,,,,
25,Pocillopora  ,33  ,37.72  ,Pocillopora  ,41  ,17.51  ,,,,,,
26,Pocillopora  ,34  ,164.8  ,Pocillopora  ,43  ,327.54  ,Pocillopora  ,9  ,355.14  ,Pocillopora  ,11  ,244.25  
27,Pocillopora  Pocillopora  ,35  36  ,14.04  4.37  ,Pocillopora  ,44  ,57.35  ,Pocillopora  ,12  ,36.18  ,,,
28,Pocillopora  ,38  ,34.85  ,Pocillopora  ,38  ,41.01  ,,,,,,
29,,,,Pocillopora  ,3  ,22.38  ,Pocillopora  ,11  ,19.74  ,,,
30,,,,Pocillopora  ,23  ,6.93  ,Pocillopora  ,26  ,10.41  ,Pocillopora  ,17  ,50.5  
31,,,,Pocillopora  ,24  ,5.9  ,,,,,,
32,,,,Acropora  ,25  ,13.84  ,,,,,,
33,,,,Acropora  ,26  ,2.59  ,,,,,,
34,,,,Pocillopora  ,27  ,1.25  ,,,,,,
35,,,,Acropora  ,28  ,2.4  ,,,,,,
36,,,,Pocillopora  ,29  ,6.58  ,,,,,,
37,,,,Pocillopora  ,45  ,10.05  ,,,,,,
38,,,,,,,Acropora  ,0  ,4.21  ,Acropora  ,7  ,20.63  
39,,,,,,,Acropora  ,2  ,6.08  ,Acropora  ,15  ,24.57  
40,,,,,,,Pocillopora  ,10  ,8.37  ,,,
41,,,,,,,Acropora  ,16  ,1.07  ,Acropora  ,6  ,7.49  
42,,,,,,,Pocillopora  ,18  ,4.8  ,,,
43,,,,,,,Acropora  ,22  ,4.85  ,Acropora  ,8  ,6.71  
44,,,,,,,Acropora  ,23  ,4.82  ,Acropora  ,19  ,14.15  
45,,,,,,,Pocillopora  ,27  ,3.31  ,Pocillopora  ,9  ,18.27  
