genet,2016_E2B_5 Class name,2016_E2B_5 Object id,2016_E2B_5 Area,2018_E2B_5 Class name,2018_E2B_5 Object id,2018_E2B_5 Area,2020_E2B_5 Class name,2020_E2B_5 Object id,2020_E2B_5 Area,2022_E2B_5 Class name,2022_E2B_5 Object id,2022_E2B_5 Area
0,Pocillopora  Pocillopora  ,0  4  ,87.33  6.97  ,Pocillopora  Pocillopora  ,7  8  ,134.66  37.75  ,Pocillopora  Pocillopora  ,5  7  ,82.82  25.84  ,,,
1,Pocillopora  Pocillopora  ,1  3  ,38.46  51.54  ,Pocillopora  ,1  ,129.22  ,Pocillopora  ,26  ,17.65  ,,,
2,Pocillopora  ,2  ,37.42  ,Pocillopora  ,2  ,36.29  ,Pocillopora  ,27  ,15.98  ,,,
3,Pocillopora  ,5  ,1.8  ,Pocillopora  ,37  ,20.44  ,Pocillopora  ,31  ,14.26  ,,,
4,Pocillopora  ,6  ,5.47  ,,,,,,,,,
5,Pocillopora  ,7  ,21.26  ,Pocillopora  ,22  ,73.83  ,,,,,,
6,Pocillopora  ,8  ,14.53  ,Pocillopora  ,30  ,37.93  ,Pocillopora  ,25  ,53.54  ,Pocillopora  ,9  ,60.15  
7,Pocillopora  ,11  ,39.99  ,Pocillopora  ,6  ,56.05  ,,,,,,
8,Pocillopora  ,12  ,153.01  ,Pocillopora  ,5  ,266.25  ,Pocillopora  Pocillopora  ,3  4  ,128.23  40.91  ,,,
9,Pocillopora  ,13  ,38.57  ,Pocillopora  ,4  ,38.12  ,,,,,,
10,Pocillopora  ,14  ,40.31  ,,,,,,,,,
11,Pocillopora  ,15  ,25.66  ,,,,,,,,,
12,Pocillopora  ,16  ,35.84  ,,,,,,,,,
13,Pocillopora  ,17  ,21.75  ,,,,,,,,,
14,Pocillopora  ,18  ,33.8  ,,,,,,,,,
15,Pocillopora  ,19  ,14.13  ,,,,,,,,,
16,Pocillopora  ,20  ,33.0  ,Pocillopora  ,41  ,41.44  ,Pocillopora  ,1  ,53.38  ,,,
17,Pocillopora  ,21  ,68.3  ,Pocillopora  ,16  ,113.9  ,Pocillopora  ,0  ,148.8  ,Pocillopora  ,4  ,69.29  
18,Pocillopora  ,22  ,16.93  ,,,,,,,,,
19,Pocillopora  ,23  ,43.67  ,Pocillopora  ,15  ,29.63  ,,,,,,
20,Pocillopora  ,24  ,57.78  ,,,,,,,,,
21,Pocillopora  ,25  ,36.5  ,Pocillopora  ,17  ,32.29  ,,,,,,
22,Pocillopora  ,26  ,22.73  ,,,,,,,,,
23,Pocillopora  ,27  ,49.07  ,,,,,,,,,
24,Pocillopora  ,28  ,99.84  ,Pocillopora  ,12  ,125.88  ,Pocillopora  ,9  ,38.8  ,,,
25,Pocillopora  ,29  ,39.2  ,,,,,,,,,
26,Acropora  ,33  ,69.93  ,Acropora  ,11  ,83.41  ,,,,,,
27,Pocillopora  ,34  ,50.74  ,Pocillopora  ,13  ,80.13  ,,,,,,
28,Pocillopora  ,35  ,14.19  ,Pocillopora  ,36  ,33.66  ,,,,,,
29,Pocillopora  ,36  ,37.35  ,,,,,,,,,
30,Pocillopora  ,37  ,3.22  ,,,,,,,,,
31,Pocillopora  ,38  ,14.64  ,Pocillopora  ,38  ,44.72  ,Pocillopora  ,30  ,54.27  ,,,
32,Pocillopora  ,39  ,46.59  ,,,,,,,,,
33,Pocillopora  ,40  ,44.66  ,Pocillopora  ,34  ,82.29  ,Pocillopora  ,12  ,101.81  ,,,
34,Pocillopora  ,41  ,15.39  ,,,,,,,,,
35,Pocillopora  ,42  ,47.42  ,,,,,,,,,
36,Pocillopora  ,43  ,42.95  ,,,,,,,,,
37,Acropora  ,44  ,94.89  ,Acropora  ,33  ,196.01  ,Acropora  ,11  ,263.44  ,,,
38,Acropora  ,45  ,21.73  ,Acropora  ,19  ,18.14  ,,,,,,
39,Pocillopora  ,46  ,217.45  ,Pocillopora  ,18  ,367.81  ,Pocillopora  Pocillopora  Pocillopora  ,15  16  17  ,23.86  172.07  14.45  ,,,
40,Pocillopora  ,47  ,104.77  ,Pocillopora  ,20  ,179.18  ,Pocillopora  ,18  ,188.05  ,,,
41,Pocillopora  ,48  ,125.77  ,Pocillopora  ,31  ,230.0  ,Pocillopora  ,14  ,195.22  ,Pocillopora  ,7  ,64.48  
42,Pocillopora  ,49  ,35.53  ,,,,,,,,,
43,Pocillopora  ,50  ,24.44  ,,,,,,,,,
44,Pocillopora  ,51  ,43.49  ,Pocillopora  ,27  ,27.26  ,,,,,,
45,Pocillopora  ,52  ,52.71  ,Pocillopora  ,29  ,81.21  ,,,,,,
46,Pocillopora  ,53  ,12.03  ,,,,,,,,,
47,Pocillopora  ,54  ,116.36  ,Pocillopora  ,40  ,179.62  ,,,,,,
48,Pocillopora  ,55  ,10.93  ,Pocillopora  ,35  ,27.35  ,,,,,,
49,Acropora  ,56  ,78.29  ,Acropora  ,32  ,183.45  ,Acropora  ,13  ,169.69  ,Acropora  ,10  ,177.46  
50,Acropora  ,57  ,17.72  ,Acropora  ,39  ,11.28  ,,,,,,
51,Pocillopora  ,58  ,16.68  ,,,,,,,,,
52,Pocillopora  ,59  ,7.17  ,,,,,,,,,
53,Pocillopora  ,60  ,55.82  ,Pocillopora  ,21  ,85.01  ,,,,,,
54,Pocillopora  ,61  ,15.32  ,,,,,,,,,
55,Pocillopora  ,62  ,60.94  ,Pocillopora  ,26  ,103.92  ,Pocillopora  ,24  ,114.34  ,Pocillopora  ,8  ,109.12  
56,Pocillopora  ,63  ,38.84  ,Pocillopora  ,24  ,80.21  ,Pocillopora  ,23  ,100.33  ,,,
57,Pocillopora  ,64  ,216.84  ,Pocillopora  ,25  ,366.9  ,Pocillopora  Pocillopora  ,19  20  ,99.35  57.07  ,,,
58,Pocillopora  ,65  ,146.08  ,Pocillopora  ,23  ,141.61  ,Pocillopora  ,22  ,6.68  ,,,
59,Pocillopora  ,66  ,37.15  ,Pocillopora  ,0  ,59.7  ,,,,,,
60,,,,Pocillopora  ,3  ,30.48  ,,,,,,
61,,,,Acropora  ,9  ,11.36  ,,,,,,
62,,,,Pocillopora  ,10  ,11.14  ,,,,,,
63,,,,Pocillopora  ,14  ,65.74  ,Pocillopora  ,10  ,79.7  ,,,
64,,,,Pocillopora  ,28  ,15.51  ,,,,,,
65,,,,Acropora  ,42  ,33.43  ,Acropora  ,2  ,29.11  ,Acropora  ,5  ,2.55  
66,,,,,,,Acropora  ,6  ,11.09  ,Acropora  ,3  ,20.14  
67,,,,,,,Acropora  ,8  ,5.94  ,Acropora  ,1  ,21.4  
68,,,,,,,Acropora  ,21  ,7.74  ,,,
69,,,,,,,Pocillopora  ,28  ,4.78  ,,,
70,,,,,,,Pocillopora  ,29  ,3.85  ,Pocillopora  ,0  ,7.11  
71,,,,,,,,,,Pocillopora  ,6  ,3.53  
72,,,,,,,,,,Acropora  ,11  ,1.95  
