genet,2016_E2B_13 Class name,2016_E2B_13 Object id,2016_E2B_13 Area,2018_E2B_13 Class name,2018_E2B_13 Object id,2018_E2B_13 Area,2020_E2B_13 Class name,2020_E2B_13 Object id,2020_E2B_13 Area,2022_E2B_13 Class name,2022_E2B_13 Object id,2022_E2B_13 Area
0,Pocillopora  ,2  ,210.09  ,Pocillopora  ,31  ,57.63  ,,,,,,
1,Pocillopora  ,3  ,60.1  ,Pocillopora  ,15  ,24.13  ,,,,,,
2,Acropora  ,4  ,15.86  ,,,,,,,,,
3,Pocillopora  ,5  ,15.24  ,,,,,,,,,
4,Pocillopora  ,6  ,56.16  ,,,,,,,,,
5,Pocillopora  ,7  ,90.37  ,Pocillopora  ,0  ,83.31  ,,,,,,
6,Pocillopora  ,9  ,35.98  ,Pocillopora  ,16  ,123.37  ,,,,,,
7,Pocillopora  ,10  ,24.18  ,Pocillopora  ,18  ,69.22  ,Pocillopora  ,2  ,63.97  ,Pocillopora  ,14  ,39.26  
8,Pocillopora  ,11  ,270.85  ,Pocillopora  ,14  ,356.03  ,Pocillopora  ,0  ,328.62  ,Pocillopora  ,5  ,64.68  
9,Pocillopora  ,12  ,60.52  ,,,,,,,,,
10,Pocillopora  ,13  ,129.72  ,Pocillopora  ,20  ,268.1  ,Pocillopora  ,10  ,341.43  ,Pocillopora  Pocillopora  ,10  11  ,44.6  79.96  
11,Pocillopora  ,15  ,9.19  ,Pocillopora  ,12  ,40.71  ,,,,,,
12,Pocillopora  ,16  ,16.62  ,Pocillopora  Pocillopora  ,10  11  ,6.06  3.53  ,,,,,,
13,Acropora  ,17  ,4.41  ,Acropora  ,8  ,15.17  ,,,,,,
14,Pocillopora  ,18  ,4.81  ,Pocillopora  ,9  ,26.29  ,Pocillopora  ,17  ,48.75  ,Pocillopora  ,7  ,40.7  
15,Pocillopora  ,19  ,112.23  ,Pocillopora  ,13  ,330.43  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,11  12  13  14  15  16  18  19  33  34  35  36  37  ,1.28  2.43  4.73  1.36  1.8  16.91  3.19  10.88  0.81  0.84  0.57  0.99  1.93  ,,,
16,Pocillopora  ,20  ,179.44  ,Pocillopora  Pocillopora  ,22  23  ,62.82  128.31  ,Pocillopora  ,21  ,4.84  ,,,
17,Pocillopora  ,21  ,17.17  ,Pocillopora  ,21  ,37.49  ,,,,,,
18,Pocillopora  ,22  ,210.6  ,Pocillopora  ,25  ,142.11  ,Pocillopora  ,26  ,7.59  ,Pocillopora  ,9  ,13.22  
19,Pocillopora  ,23  ,398.15  ,Pocillopora  ,27  ,612.32  ,Pocillopora  Pocillopora  ,27  28  ,3.37  23.42  ,,,
20,Pocillopora  ,24  ,103.12  ,Pocillopora  ,29  ,297.69  ,Pocillopora  Pocillopora  ,8  31  ,63.39  31.33  ,,,
21,Pocillopora  ,25  ,57.93  ,Pocillopora  ,28  ,91.88  ,Pocillopora  ,9  ,61.73  ,,,
22,Pocillopora  ,26  ,21.96  ,Pocillopora  ,30  ,77.15  ,Pocillopora  ,30  ,102.48  ,,,
23,Pocillopora  ,28  ,13.51  ,Pocillopora  ,37  ,26.36  ,Pocillopora  ,7  ,26.76  ,,,
24,Pocillopora  ,31  ,21.99  ,Pocillopora  ,35  ,37.65  ,,,,,,
25,Pocillopora  ,32  ,16.53  ,Pocillopora  ,34  ,90.54  ,Pocillopora  ,4  ,128.94  ,Pocillopora  ,12  ,146.23  
26,Acropora  ,33  ,42.38  ,Acropora  ,24  ,42.88  ,,,,,,
27,Pocillopora  ,34  ,71.72  ,Pocillopora  ,6  ,131.23  ,,,,,,
28,Pocillopora  ,35  ,1.94  ,,,,,,,,,
29,Pocillopora  ,36  ,193.02  ,Pocillopora  ,5  ,237.81  ,Pocillopora  ,20  ,9.01  ,,,
30,Pocillopora  Pocillopora  ,37  38  ,42.22  196.73  ,Pocillopora  Pocillopora  ,3  4  ,182.38  207.82  ,,,,,,
31,Pocillopora  ,43  ,2.91  ,Pocillopora  ,17  ,23.52  ,,,,,,
32,,,,Pocillopora  ,1  ,2.44  ,,,,,,
33,,,,Acropora  ,2  ,3.91  ,,,,,,
34,,,,Pocillopora  ,7  ,9.41  ,,,,,,
35,,,,Pocillopora  ,19  ,122.34  ,Pocillopora  ,1  ,67.24  ,,,
36,,,,Pocillopora  ,32  ,16.31  ,Pocillopora  ,3  ,30.57  ,,,
37,,,,Acropora  ,33  ,17.74  ,,,,,,
38,,,,Pocillopora  ,36  ,5.82  ,,,,,,
39,,,,Acropora  ,38  ,1.13  ,Acropora  ,6  ,6.66  ,,,
40,,,,,,,Acropora  ,5  ,1.99  ,Acropora  ,8  ,22.65  
41,,,,,,,Pocillopora  ,22  ,3.47  ,Pocillopora  ,3  ,5.91  
42,,,,,,,Pocillopora  ,23  ,1.0  ,Pocillopora  ,2  ,1.13  
43,,,,,,,Pocillopora  ,24  ,0.48  ,Pocillopora  ,4  ,2.37  
44,,,,,,,Pocillopora  ,25  ,1.84  ,,,
45,,,,,,,Pocillopora  ,32  ,8.5  ,,,
46,,,,,,,,,,Pocillopora  ,1  ,2.04  
47,,,,,,,,,,Pocillopora  ,6  ,9.97  
48,,,,,,,,,,Pocillopora  ,13  ,8.75  
49,,,,,,,,,,Pocillopora  ,15  ,1.47  
50,,,,,,,,,,Pocillopora  ,16  ,3.74  
51,,,,,,,,,,Pocillopora  ,17  ,2.69  
