genet,2016_E2B_12 Class name,2016_E2B_12 Object id,2016_E2B_12 Area,2018_E2B_12 Class name,2018_E2B_12 Object id,2018_E2B_12 Area,2020_E2B_12 Class name,2020_E2B_12 Object id,2020_E2B_12 Area,2022_E2B_12 Class name,2022_E2B_12 Object id,2022_E2B_12 Area
0,Pocillopora  ,0  ,42.56  ,,,,,,,,,
1,Pocillopora  ,1  ,15.46  ,Pocillopora  ,1  ,5.03  ,,,,,,
2,Pocillopora  ,2  ,9.49  ,Pocillopora  ,0  ,23.27  ,,,,,,
3,Pocillopora  Pocillopora  ,3  29  ,21.42  91.99  ,Pocillopora  ,15  ,221.2  ,Pocillopora  ,9  ,259.56  ,Pocillopora  ,6  ,50.57  
4,Pocillopora  ,4  ,77.94  ,Pocillopora  ,3  ,164.68  ,Pocillopora  ,7  ,150.57  ,Pocillopora  ,20  ,117.14  
5,Pocillopora  ,5  ,23.91  ,,,,,,,,,
6,Pocillopora  ,6  ,37.49  ,Pocillopora  ,4  ,29.16  ,,,,,,
7,Pocillopora  Pocillopora  Pocillopora  ,7  47  48  ,323.51  5.32  2.16  ,Pocillopora  ,5  ,803.83  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,1  2  3  4  5  6  ,237.22  23.58  57.97  2.87  8.74  3.53  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,0  1  2  3  4  5  ,11.37  5.42  4.33  4.8  4.98  3.05  
8,Pocillopora  ,8  ,149.89  ,Pocillopora  ,12  ,139.59  ,,,,,,
9,Pocillopora  ,9  ,61.02  ,Pocillopora  ,13  ,115.37  ,,,,,,
10,Pocillopora  ,10  ,45.91  ,Pocillopora  ,14  ,22.35  ,,,,,,
11,Pocillopora  ,12  ,56.62  ,Pocillopora  ,6  ,90.57  ,Pocillopora  Pocillopora  ,18  19  ,76.8  3.27  ,,,
12,Pocillopora  ,13  ,163.57  ,Pocillopora  ,7  ,188.72  ,Pocillopora  ,20  ,86.41  ,,,
13,Pocillopora  Pocillopora  ,14  15  ,117.48  95.08  ,Pocillopora  ,8  ,197.0  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,21  22  23  24  25  26  27  28  29  ,13.07  8.99  4.84  1.13  4.86  0.36  11.89  2.36  2.94  ,Pocillopora  ,15  ,27.7  
14,Pocillopora  Pocillopora  ,16  17  ,155.36  198.17  ,Pocillopora  Pocillopora  Pocillopora  ,10  36  9  ,92.11  11.75  88.63  ,Pocillopora  ,30  ,128.47  ,Pocillopora  ,14  ,115.55  
15,Pocillopora  ,18  ,35.47  ,,,,,,,,,
16,Pocillopora  ,19  ,12.44  ,,,,,,,,,
17,Pocillopora  ,20  ,48.92  ,,,,,,,,,
18,Pocillopora  ,21  ,13.57  ,,,,,,,,,
19,Pocillopora  ,22  ,41.87  ,Pocillopora  ,27  ,72.93  ,,,,,,
20,Pocillopora  Pocillopora  Pocillopora  ,23  25  28  ,11.44  19.14  5.05  ,Pocillopora  ,11  ,107.81  ,,,,,,
21,Pocillopora  ,24  ,105.96  ,Pocillopora  ,26  ,207.73  ,Pocillopora  ,33  ,179.41  ,Pocillopora  Pocillopora  ,10  11  ,101.2  36.31  
22,Pocillopora  ,26  ,72.89  ,,,,,,,,,
23,Acropora  ,27  ,92.22  ,,,,,,,,,
24,Pocillopora  ,30  ,13.0  ,Pocillopora  ,20  ,11.83  ,Pocillopora  ,15  ,35.32  ,,,
25,Pocillopora  ,31  ,76.85  ,Pocillopora  ,16  ,84.41  ,Pocillopora  ,17  ,98.55  ,,,
26,Pocillopora  ,32  ,37.29  ,,,,,,,,,
27,Pocillopora  ,33  ,38.74  ,Pocillopora  ,19  ,21.22  ,,,,,,
28,Pocillopora  ,34  ,34.31  ,Pocillopora  ,23  ,65.13  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,10  11  12  13  ,2.42  6.6  4.05  7.0  ,,,
29,Pocillopora  Pocillopora  Pocillopora  ,35  36  37  ,53.21  5.45  8.74  ,Pocillopora  ,24  ,93.36  ,,,,,,
30,Acropora  ,38  ,124.56  ,Acropora  ,28  ,212.13  ,Acropora  ,32  ,171.98  ,Acropora  ,12  ,245.55  
31,Pocillopora  ,39  ,15.02  ,Pocillopora  ,21  ,84.67  ,Pocillopora  ,14  ,15.34  ,,,
32,Pocillopora  ,40  ,66.24  ,Pocillopora  Pocillopora  ,34  35  ,8.3  136.96  ,Pocillopora  ,35  ,50.8  ,Pocillopora  ,18  ,25.73  
33,Pocillopora  ,41  ,268.03  ,Pocillopora  ,33  ,452.21  ,Pocillopora  ,0  ,348.95  ,,,
34,Acropora  ,46  ,1.51  ,Acropora  ,2  ,20.11  ,Acropora  ,8  ,11.08  ,,,
35,Pocillopora  ,49  ,55.89  ,Pocillopora  ,29  ,56.64  ,,,,,,
36,Acropora  ,50  ,25.47  ,Acropora  ,30  ,121.91  ,,,,,,
37,Pocillopora  ,52  ,160.85  ,Pocillopora  ,31  ,324.39  ,Pocillopora  ,39  ,229.37  ,,,
38,Acropora  ,55  ,172.78  ,Acropora  ,32  ,344.2  ,,,,,,
39,,,,Acropora  ,17  ,8.13  ,,,,,,
40,,,,Acropora  ,18  ,2.98  ,Acropora  ,34  ,11.39  ,Acropora  ,17  ,63.87  
41,,,,Acropora  ,22  ,3.95  ,Acropora  ,16  ,11.21  ,Acropora  ,7  ,22.71  
42,,,,Acropora  ,25  ,51.21  ,,,,,,
43,,,,Pocillopora  ,37  ,15.72  ,,,,,,
44,,,,,,,Acropora  ,31  ,2.13  ,,,
45,,,,,,,Acropora  ,38  ,3.83  ,Acropora  ,19  ,7.15  
46,,,,,,,Pocillopora  ,42  ,6.22  ,Pocillopora  ,13  ,42.07  
47,,,,,,,,,,Acropora  ,8  ,1.98  
48,,,,,,,,,,Pocillopora  ,9  ,0.78  
