genet,2016_E2B_15 Class name,2016_E2B_15 Object id,2016_E2B_15 Area,E2B_15_2018 Class name,E2B_15_2018 Object id,E2B_15_2018 Area,E2B_15_2020 Class name,E2B_15_2020 Object id,E2B_15_2020 Area,E2B_15_2022 Class name,E2B_15_2022 Object id,E2B_15_2022 Area
0,Pocillopora  ,0  ,29.63  ,Pocillopora  ,24  ,32.1  ,Pocillopora  ,2  ,12.94  ,,,
1,Pocillopora  ,1  ,191.45  ,Pocillopora  ,23  ,358.84  ,Pocillopora  ,3  ,132.95  ,Pocillopora  ,7  ,47.9  
2,Acropora  ,2  ,1.13  ,Acropora  ,29  ,47.59  ,Acropora  ,23  ,83.93  ,Acropora  ,17  ,94.68  
3,Acropora  ,3  ,57.56  ,Acropora  ,26  ,40.74  ,,,,,,
4,Pocillopora  Pocillopora  ,4  6  ,4.37  30.07  ,Pocillopora  ,25  ,43.6  ,,,,,,
5,Acropora  ,5  ,45.99  ,Acropora  ,27  ,130.49  ,,,,,,
6,Pocillopora  ,7  ,51.09  ,,,,,,,,,
7,Pocillopora  ,8  ,5.0  ,Pocillopora  ,4  ,79.31  ,,,,,,
8,Acropora  ,9  ,3.13  ,Acropora  ,28  ,20.76  ,Acropora  ,6  ,29.99  ,Acropora  ,1  ,21.74  
9,Pocillopora  ,10  ,9.24  ,,,,,,,,,
10,Pocillopora  ,11  ,25.48  ,,,,,,,,,
11,Pocillopora  ,12  ,37.42  ,,,,,,,,,
12,Pocillopora  ,13  ,26.03  ,,,,,,,,,
13,Pocillopora  ,14  ,32.18  ,Pocillopora  ,11  ,20.59  ,,,,,,
14,Pocillopora  ,15  ,215.17  ,Pocillopora  Pocillopora  ,30  31  ,354.12  46.13  ,Pocillopora  ,8  ,138.33  ,Pocillopora  ,4  ,64.29  
15,Pocillopora  ,16  ,13.63  ,Pocillopora  ,17  ,57.31  ,Pocillopora  ,27  ,63.86  ,,,
16,Pocillopora  ,17  ,49.7  ,Pocillopora  ,2  ,116.16  ,Pocillopora  ,4  ,143.5  ,Pocillopora  ,0  ,67.29  
17,Pocillopora  ,18  ,70.13  ,Pocillopora  ,32  ,205.24  ,,,,,,
18,Pocillopora  ,19  ,114.5  ,Pocillopora  ,5  ,225.0  ,Pocillopora  Pocillopora  ,7  18  ,11.72  136.46  ,,,
19,Pocillopora  Pocillopora  ,22  33  ,5.59  202.37  ,Pocillopora  ,35  ,329.11  ,Pocillopora  ,15  ,230.39  ,,,
20,Pocillopora  ,23  ,51.73  ,Pocillopora  ,33  ,38.38  ,,,,,,
21,Pocillopora  ,24  ,56.02  ,Pocillopora  ,34  ,113.83  ,Pocillopora  ,9  ,307.9  ,Pocillopora  ,6  ,44.6  
22,Pocillopora  ,25  ,75.41  ,Pocillopora  ,1  ,170.35  ,Pocillopora  ,11  ,10.72  ,Pocillopora  ,8  ,2.12  
23,Pocillopora  Pocillopora  ,26  27  ,12.4  68.88  ,Pocillopora  ,0  ,124.86  ,Pocillopora  Pocillopora  ,1  30  ,95.49  29.95  ,,,
24,Pocillopora  ,28  ,25.5  ,Pocillopora  Pocillopora  ,21  22  ,9.5  3.79  ,,,,,,
25,Pocillopora  Pocillopora  ,29  30  ,20.13  38.46  ,Pocillopora  Pocillopora  Pocillopora  ,8  9  10  ,28.76  5.17  26.2  ,Pocillopora  Pocillopora  ,19  20  ,46.77  5.23  ,Pocillopora  ,20  ,18.46  
26,Pocillopora  Pocillopora  ,31  32  ,19.82  31.02  ,Pocillopora  ,6  ,139.16  ,Pocillopora  Pocillopora  ,16  17  ,15.7  27.51  ,,,
27,Pocillopora  ,34  ,47.4  ,Pocillopora  ,37  ,49.64  ,,,,,,
28,Pocillopora  ,35  ,32.95  ,Pocillopora  ,36  ,61.48  ,Pocillopora  ,24  ,85.18  ,,,
29,Pocillopora  ,36  ,168.17  ,Pocillopora  ,38  ,247.93  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,12  13  14  26  ,4.39  4.14  32.73  81.2  ,,,
30,Pocillopora  ,37  ,143.29  ,Pocillopora  ,39  ,333.14  ,Pocillopora  ,10  ,42.0  ,Pocillopora  ,9  ,6.65  
31,Pocillopora  ,38  ,57.52  ,Pocillopora  ,40  ,45.65  ,,,,,,
32,Pocillopora  ,39  ,113.79  ,Pocillopora  ,42  ,29.6  ,,,,,,
33,Pocillopora  ,40  ,164.46  ,Pocillopora  Pocillopora  ,20  18  ,43.15  172.47  ,Pocillopora  ,28  ,188.12  ,Pocillopora  Pocillopora  ,14  15  ,25.9  73.81  
34,Pocillopora  ,42  ,17.72  ,Pocillopora  ,15  ,24.46  ,Pocillopora  ,32  ,38.33  ,,,
35,Pocillopora  Pocillopora  ,43  44  ,82.17  25.84  ,Pocillopora  ,16  ,167.94  ,Pocillopora  ,25  ,114.72  ,,,
36,Pocillopora  ,45  ,10.95  ,,,,,,,,,
37,Pocillopora  ,46  ,45.78  ,Pocillopora  ,14  ,59.55  ,,,,,,
38,Pocillopora  ,47  ,5.5  ,,,,,,,,,
39,Pocillopora  ,48  ,38.55  ,Pocillopora  ,12  ,90.68  ,Pocillopora  ,21  ,35.05  ,,,
40,Pocillopora  ,49  ,111.13  ,Pocillopora  ,7  ,256.16  ,,,,,,
41,Pocillopora  ,50  ,2.12  ,,,,,,,,,
42,Pocillopora  ,51  ,5.66  ,Pocillopora  ,13  ,16.44  ,,,,,,
43,Pocillopora  Pocillopora  ,53  54  ,178.39  22.63  ,Pocillopora  ,19  ,289.95  ,Pocillopora  ,29  ,246.85  ,Pocillopora  ,24  ,3.96  
44,Pocillopora  ,56  ,115.52  ,Pocillopora  ,41  ,118.7  ,Pocillopora  ,0  ,52.71  ,,,
45,Pocillopora  ,57  ,1.15  ,,,,,,,,,
46,Pocillopora  ,58  ,1.08  ,,,,,,,,,
47,,,,Pocillopora  ,3  ,91.08  ,Pocillopora  ,5  ,105.03  ,,,
48,,,,Pocillopora  ,43  ,21.33  ,Pocillopora  ,31  ,28.76  ,,,
49,,,,Pocillopora  ,44  ,4.45  ,Pocillopora  ,33  ,6.52  ,Pocillopora  ,2  ,10.77  
50,,,,,,,Acropora  ,22  ,2.4  ,Acropora  ,16  ,10.87  
51,,,,,,,,,,Pocillopora  ,5  ,2.2  
52,,,,,,,,,,Pocillopora  ,25  ,6.47  
