genet,2016_E2B_10 Class name,2016_E2B_10 Object id,2016_E2B_10 Area,2018_E2B_10 Class name,2018_E2B_10 Object id,2018_E2B_10 Area,2020_E2B_10 Class name,2020_E2B_10 Object id,2020_E2B_10 Area,2022_E2B_10 Class name,2022_E2B_10 Object id,2022_E2B_10 Area
0,Pocillopora  ,0  ,235.15  ,Pocillopora  ,0  ,384.36  ,Pocillopora  ,0  ,319.82  ,Pocillopora  ,23  ,83.93  
1,Pocillopora  ,1  ,15.53  ,,,,,,,,,
2,Pocillopora  ,2  ,151.88  ,Pocillopora  ,29  ,37.65  ,,,,,,
3,Pocillopora  ,3  ,64.16  ,Pocillopora  ,28  ,39.36  ,,,,,,
4,Pocillopora  ,4  ,18.42  ,,,,,,,,,
5,Pocillopora  ,5  ,39.21  ,,,,,,,,,
6,Pocillopora  ,6  ,5.2  ,,,,,,,,,
7,Pocillopora  Pocillopora  ,7  8  ,138.89  31.69  ,Pocillopora  ,1  ,306.62  ,,,,,,
8,Pocillopora  ,9  ,27.57  ,Pocillopora  ,2  ,58.99  ,Pocillopora  ,4  ,65.27  ,Pocillopora  ,1  ,83.79  
9,Pocillopora  ,12  ,17.72  ,,,,,,,,,
10,Pocillopora  ,13  ,159.26  ,Pocillopora  ,11  ,50.63  ,,,,,,
11,Pocillopora  ,14  ,11.04  ,,,,,,,,,
12,Pocillopora  ,15  ,61.14  ,,,,,,,,,
13,Pocillopora  ,16  ,36.48  ,Pocillopora  ,14  ,19.27  ,,,,,,
14,Pocillopora  Pocillopora  ,17  18  ,170.44  118.21  ,Pocillopora  ,10  ,483.73  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,8  9  10  11  ,20.45  139.65  58.39  60.12  ,Pocillopora  Pocillopora  ,16  20  ,37.21  30.17  
15,Acropora  ,19  ,26.17  ,,,,,,,,,
16,Pocillopora  ,20  ,7.22  ,,,,,,,,,
17,Pocillopora  ,21  ,155.87  ,Pocillopora  ,12  ,345.3  ,,,,,,
18,Pocillopora  ,22  ,18.0  ,,,,,,,,,
19,Acropora  ,23  ,24.44  ,Acropora  ,21  ,37.04  ,,,,,,
20,Acropora  ,24  ,25.09  ,Acropora  ,20  ,26.04  ,,,,,,
21,Acropora  Acropora  ,25  26  ,78.84  90.48  ,Acropora  ,23  ,278.88  ,,,,,,
22,Pocillopora  ,27  ,44.48  ,Pocillopora  ,24  ,54.53  ,Pocillopora  ,22  ,27.6  ,,,
23,Pocillopora  ,28  ,60.63  ,,,,,,,,,
24,Pocillopora  ,29  ,35.04  ,,,,,,,,,
25,Pocillopora  ,30  ,132.35  ,Pocillopora  ,25  ,251.47  ,Pocillopora  ,1  ,296.15  ,Pocillopora  ,3  ,154.1  
26,Pocillopora  ,33  ,128.18  ,,,,,,,,,
27,Pocillopora  ,34  ,129.97  ,,,,,,,,,
28,Pocillopora  ,37  ,134.38  ,Pocillopora  ,17  ,212.94  ,Pocillopora  Pocillopora  ,19  20  ,77.85  88.51  ,Pocillopora  ,18  ,36.8  
29,Pocillopora  ,38  ,32.5  ,Pocillopora  ,31  ,57.66  ,,,,,,
30,Pocillopora  ,40  ,255.93  ,Pocillopora  ,8  ,559.58  ,,,,,,
31,Pocillopora  ,43  ,39.21  ,Pocillopora  Pocillopora  ,5  6  ,50.79  9.5  ,Pocillopora  ,16  ,95.01  ,Pocillopora  ,22  ,71.72  
32,Pocillopora  ,44  ,86.48  ,Pocillopora  ,3  ,153.35  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,12  13  14  15  24  ,28.62  13.12  4.42  3.78  5.87  ,,,
33,Pocillopora  ,46  ,6.89  ,,,,,,,,,
34,,,,Pocillopora  ,4  ,3.21  ,,,,,,
35,,,,Pocillopora  ,7  ,7.39  ,,,,,,
36,,,,Acropora  ,9  ,3.16  ,,,,,,
37,,,,Pocillopora  ,13  ,3.12  ,,,,,,
38,,,,Pocillopora  ,15  ,152.18  ,,,,,,
39,,,,Pocillopora  ,16  ,21.45  ,,,,,,
40,,,,Acropora  ,18  ,17.58  ,,,,,,
41,,,,Acropora  ,19  ,5.24  ,,,,,,
42,,,,Pocillopora  ,22  ,4.24  ,Pocillopora  ,6  ,9.32  ,Pocillopora  ,5  ,45.61  
43,,,,Pocillopora  ,27  ,38.56  ,,,,,,
44,,,,Pocillopora  ,30  ,7.89  ,,,,,,
45,,,,Pocillopora  ,32  ,11.64  ,Pocillopora  ,2  ,14.22  ,Pocillopora  ,17  ,15.54  
46,,,,Acropora  ,33  ,23.89  ,,,,,,
47,,,,Acropora  ,34  ,13.79  ,Acropora  ,21  ,38.22  ,Acropora  ,19  ,87.38  
48,,,,,,,Acropora  ,5  ,5.03  ,Acropora  ,4  ,6.65  
49,,,,,,,Acropora  ,7  ,11.35  ,Acropora  ,0  ,24.94  
50,,,,,,,Acropora  ,17  ,2.71  ,Acropora  ,6  ,21.55  
51,,,,,,,,,,Pocillopora  ,2  ,3.06  
52,,,,,,,,,,Acropora  ,21  ,15.44  
