genet,2016_E2B_11 Class name,2016_E2B_11 Object id,2016_E2B_11 Area,2018_E2B_11 Class name,2018_E2B_11 Object id,2018_E2B_11 Area,2020_E2B_11 Class name,2020_E2B_11 Object id,2020_E2B_11 Area,2022_E2B_11 Class name,2022_E2B_11 Object id,2022_E2B_11 Area
0,Acropora  ,1  ,19.75  ,Acropora  ,1  ,159.65  ,Acropora  ,0  ,189.54  ,Acropora  ,1  ,168.36  
1,Pocillopora  ,2  ,14.73  ,Pocillopora  ,24  ,25.27  ,,,,,,
2,Pocillopora  ,3  ,64.01  ,Pocillopora  ,25  ,60.56  ,,,,,,
3,Pocillopora  ,4  ,39.35  ,Pocillopora  ,0  ,153.76  ,Pocillopora  Pocillopora  Pocillopora  ,1  6  7  ,71.81  1.82  23.55  ,Pocillopora  ,2  ,50.38  
4,Pocillopora  ,5  ,67.83  ,,,,,,,,,
5,Pocillopora  ,6  ,41.2  ,Pocillopora  ,9  ,83.91  ,Pocillopora  ,21  ,105.9  ,,,
6,Pocillopora  ,7  ,77.74  ,,,,,,,,,
7,Pocillopora  ,8  ,115.48  ,,,,,,,,,
8,Pocillopora  ,9  ,32.28  ,,,,,,,,,
9,Pocillopora  ,10  ,32.3  ,,,,,,,,,
10,Pocillopora  ,12  ,53.15  ,Pocillopora  ,20  ,76.11  ,,,,,,
11,Pocillopora  ,13  ,37.5  ,Pocillopora  ,18  ,102.5  ,,,,,,
12,Pocillopora  ,14  ,63.08  ,,,,,,,,,
13,Pocillopora  ,15  ,200.36  ,Pocillopora  ,12  ,311.86  ,Pocillopora  ,18  ,349.86  ,Pocillopora  ,13  ,168.01  
14,Pocillopora  ,16  ,137.83  ,,,,,,,,,
15,Pocillopora  ,17  ,133.48  ,Pocillopora  ,13  ,312.0  ,,,,,,
16,Pocillopora  ,18  ,39.86  ,,,,,,,,,
17,Pocillopora  ,19  ,23.17  ,,,,,,,,,
18,Pocillopora  ,20  ,172.66  ,Pocillopora  ,14  ,185.47  ,Pocillopora  Pocillopora  ,23  25  ,124.12  14.75  ,Pocillopora  ,10  ,28.89  
19,Pocillopora  ,21  ,218.08  ,Pocillopora  ,15  ,325.65  ,,,,,,
20,Pocillopora  ,22  ,136.9  ,Pocillopora  Pocillopora  ,16  27  ,38.7  42.16  ,,,,,,
21,Acropora  ,23  ,47.84  ,,,,,,,,,
22,Pocillopora  ,24  ,196.31  ,Pocillopora  ,17  ,428.55  ,Pocillopora  ,22  ,233.87  ,Pocillopora  ,15  ,42.55  
23,Pocillopora  ,26  ,36.7  ,Pocillopora  ,19  ,86.26  ,,,,,,
24,Pocillopora  ,27  ,68.17  ,Pocillopora  ,22  ,131.08  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,10  11  12  13  14  ,2.75  1.51  16.6  42.18  34.14  ,,,
25,Pocillopora  ,28  ,122.21  ,Pocillopora  ,10  ,253.83  ,Pocillopora  Pocillopora  ,8  9  ,6.84  109.17  ,,,
26,Pocillopora  ,29  ,206.94  ,Pocillopora  Pocillopora  Pocillopora  ,2  7  23  ,3.3  95.24  25.98  ,Pocillopora  Pocillopora  Pocillopora  ,3  4  2  ,1.31  6.24  3.74  ,Pocillopora  ,3  ,34.03  
27,Pocillopora  Pocillopora  ,30  32  ,157.62  41.5  ,Pocillopora  ,8  ,329.46  ,Pocillopora  Pocillopora  ,26  36  ,47.72  8.98  ,Pocillopora  ,5  ,64.47  
28,Pocillopora  ,31  ,13.31  ,,,,,,,,,
29,Pocillopora  ,35  ,40.39  ,Pocillopora  ,3  ,112.78  ,Pocillopora  ,27  ,57.23  ,,,
30,Pocillopora  ,36  ,19.34  ,,,,,,,,,
31,Acropora  ,37  ,6.51  ,,,,,,,,,
32,Pocillopora  ,38  ,142.43  ,Pocillopora  ,4  ,92.44  ,,,,,,
33,Pocillopora  ,39  ,119.17  ,Pocillopora  ,5  ,309.4  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,24  28  29  30  31  32  33  ,173.81  10.98  3.52  7.21  3.08  4.53  4.74  ,,,
34,Pocillopora  ,40  ,42.37  ,Pocillopora  ,26  ,49.61  ,,,,,,
35,Pocillopora  ,41  ,29.1  ,Pocillopora  ,6  ,70.48  ,Pocillopora  ,5  ,71.15  ,,,
36,Pocillopora  ,42  ,40.4  ,Pocillopora  ,11  ,83.99  ,Pocillopora  ,19  ,67.82  ,Pocillopora  ,9  ,4.44  
37,Pocillopora  ,43  ,271.48  ,Pocillopora  Pocillopora  ,21  28  ,63.58  363.61  ,Pocillopora  ,16  ,351.69  ,Pocillopora  ,16  ,125.95  
38,,,,Acropora  ,29  ,1.89  ,Acropora  ,17  ,14.13  ,Acropora  ,14  ,39.16  
39,,,,Acropora  ,30  ,3.52  ,Acropora  ,20  ,29.86  ,,,
40,,,,Acropora  ,31  ,2.24  ,Acropora  ,35  ,3.73  ,,,
41,,,,Acropora  ,32  ,0.79  ,Acropora  ,34  ,1.27  ,Acropora  ,12  ,4.06  
42,,,,,,,Pocillopora  ,15  ,2.23  ,,,
43,,,,,,,Acropora  ,37  ,3.5  ,Acropora  ,0  ,7.13  
44,,,,,,,Acropora  ,38  ,1.02  ,,,
45,,,,,,,,,,Acropora  ,4  ,3.43  
46,,,,,,,,,,Pocillopora  ,6  ,1.0  
47,,,,,,,,,,Acropora  ,7  ,1.72  
48,,,,,,,,,,Acropora  ,8  ,0.65  
49,,,,,,,,,,Acropora  ,11  ,1.29  
