genet,2016_E2B_7 Class name,2016_E2B_7 Object id,2016_E2B_7 Area,2018_E2B_7 Class name,2018_E2B_7 Object id,2018_E2B_7 Area,2020_E2B_7 Class name,2020_E2B_7 Object id,2020_E2B_7 Area,2022_E2B_8 Class name,2022_E2B_8 Object id,2022_E2B_8 Area
0,Pocillopora  ,0  ,250.55  ,Pocillopora  ,3  ,152.1  ,Pocillopora  Pocillopora  ,1  2  ,18.88  145.49  ,,,
1,Pocillopora  ,1  ,356.61  ,Pocillopora  ,1  ,477.12  ,,,,,,
2,Pocillopora  ,2  ,36.03  ,Pocillopora  ,32  ,27.83  ,,,,,,
3,Acropora  ,3  ,136.61  ,Acropora  ,0  ,279.2  ,Acropora  ,0  ,333.15  ,Acropora  ,0  ,358.14  
4,Pocillopora  ,4  ,33.36  ,Pocillopora  ,38  ,18.15  ,,,,,,
5,Pocillopora  ,5  ,123.85  ,Pocillopora  ,13  ,194.53  ,,,,,,
6,Pocillopora  ,6  ,36.26  ,Pocillopora  ,14  ,28.35  ,,,,,,
7,Pocillopora  ,7  ,59.96  ,Pocillopora  ,16  ,37.73  ,,,,,,
8,Pocillopora  ,8  ,265.2  ,Pocillopora  ,12  ,532.15  ,,,,,,
9,Pocillopora  ,9  ,50.69  ,Pocillopora  ,17  ,19.46  ,,,,,,
10,Pocillopora  ,10  ,100.14  ,,,,,,,,,
11,Pocillopora  ,11  ,109.36  ,,,,,,,,,
12,Pocillopora  ,12  ,75.86  ,Pocillopora  ,15  ,35.29  ,,,,,,
13,Pocillopora  ,13  ,25.48  ,Pocillopora  ,18  ,57.48  ,Pocillopora  ,12  ,28.21  ,,,
14,Pocillopora  ,14  ,16.12  ,,,,,,,,,
15,Acropora  ,15  ,28.46  ,Acropora  ,9  ,68.97  ,,,,,,
16,Pocillopora  ,16  ,97.87  ,Pocillopora  ,10  ,115.45  ,Pocillopora  ,10  ,144.83  ,,,
17,Pocillopora  ,17  ,52.12  ,Pocillopora  ,8  ,60.53  ,Pocillopora  ,9  ,38.81  ,,,
18,Pocillopora  ,18  ,56.37  ,Pocillopora  ,7  ,124.57  ,Pocillopora  ,8  ,150.04  ,Pocillopora  ,2  ,165.95  
19,Pocillopora  ,19  ,46.33  ,,,,,,,,,
20,Pocillopora  ,20  ,47.13  ,Pocillopora  ,39  ,102.8  ,Pocillopora  ,19  ,18.94  ,,,
21,Pocillopora  ,21  ,6.58  ,,,,,,,,,
22,Pocillopora  ,22  ,134.81  ,Pocillopora  ,24  ,256.67  ,,,,,,
23,Pocillopora  ,23  ,18.16  ,Pocillopora  ,6  ,29.84  ,,,,,,
24,Pocillopora  ,24  ,4.12  ,,,,,,,,,
25,Pocillopora  ,25  ,14.23  ,,,,,,,,,
26,Pocillopora  ,26  ,26.71  ,Pocillopora  ,25  ,62.11  ,,,,,,
27,Pocillopora  ,27  ,95.77  ,Pocillopora  ,5  ,302.96  ,,,,,,
28,Pocillopora  ,28  ,6.47  ,,,,,,,,,
29,Pocillopora  ,29  ,5.78  ,,,,,,,,,
30,Pocillopora  ,30  ,92.61  ,Pocillopora  ,4  ,32.42  ,,,,,,
31,Pocillopora  Pocillopora  ,31  32  ,20.02  9.18  ,Pocillopora  ,31  ,77.01  ,,,,,,
32,Pocillopora  ,33  ,94.67  ,Pocillopora  ,27  ,207.32  ,Pocillopora  ,4  ,225.48  ,,,
33,Pocillopora  ,34  ,11.37  ,,,,,,,,,
34,Pocillopora  ,35  ,64.15  ,Pocillopora  ,26  ,103.4  ,,,,,,
35,Pocillopora  ,36  ,40.87  ,Pocillopora  ,28  ,116.99  ,Pocillopora  ,5  ,25.38  ,,,
36,Acropora  ,37  ,41.12  ,,,,,,,,,
37,Pocillopora  ,39  ,33.84  ,Pocillopora  ,21  ,43.64  ,Pocillopora  Pocillopora  ,13  14  ,2.26  2.87  ,,,
38,Pocillopora  Pocillopora  ,41  40  ,12.12  69.94  ,Pocillopora  ,20  ,190.36  ,,,,,,
39,Pocillopora  ,42  ,45.6  ,Pocillopora  ,22  ,81.99  ,Pocillopora  ,16  ,90.69  ,Pocillopora  ,6  ,16.81  
40,Pocillopora  ,43  ,58.73  ,Pocillopora  ,23  ,84.03  ,Pocillopora  ,15  ,65.27  ,,,
41,Acropora  ,44  ,37.36  ,Acropora  ,35  ,38.05  ,Acropora  ,20  ,39.4  ,,,
42,Acropora  ,45  ,13.26  ,Acropora  ,33  ,14.43  ,,,,,,
43,Acropora  ,46  ,10.78  ,Acropora  ,11  ,50.13  ,,,,,,
44,,,,Pocillopora  ,2  ,26.47  ,,,,,,
45,,,,Pocillopora  ,19  ,6.6  ,,,,,,
46,,,,Pocillopora  ,29  ,32.12  ,,,,,,
47,,,,Pocillopora  ,30  ,28.22  ,Pocillopora  ,6  ,8.89  ,,,
48,,,,Pocillopora  ,36  ,10.73  ,,,,,,
49,,,,Pocillopora  ,37  ,10.96  ,,,,,,
50,,,,,,,Pocillopora  ,3  ,28.82  ,,,
51,,,,,,,Acropora  ,7  ,1.19  ,Acropora  ,4  ,8.08  
52,,,,,,,Pocillopora  ,11  ,62.47  ,,,
53,,,,,,,Pocillopora  ,17  ,1.97  ,,,
54,,,,,,,Acropora  ,18  ,1.22  ,Acropora  ,3  ,22.33  
55,,,,,,,Acropora  ,21  ,1.99  ,Acropora  ,1  ,10.86  
56,,,,,,,,,,Pocillopora  ,5  ,1.32  
