genet,8_E2B_2016 Class name,8_E2B_2016 Object id,8_E2B_2016 Area,8_E2B_2018 Class name,8_E2B_2018 Object id,8_E2B_2018 Area,8_E2B_2020 Class name,8_E2B_2020 Object id,8_E2B_2020 Area,8_E2B_2022 Class name,8_E2B_2022 Object id,8_E2B_2022 Area
0,Pocillopora  ,0  ,96.74  ,Pocillopora  ,0  ,192.85  ,Pocillopora  ,0  ,203.45  ,Pocillopora  Pocillopora  ,0  1  ,60.32  74.1  
1,Pocillopora  ,1  ,5.85  ,,,,,,,,,
2,Pocillopora  Pocillopora  ,2  3  ,13.7  49.65  ,Pocillopora  ,1  ,83.69  ,,,,,,
3,Pocillopora  ,4  ,4.49  ,,,,,,,,,
4,Pocillopora  ,5  ,123.95  ,Pocillopora  ,4  ,224.64  ,,,,,,
5,Pocillopora  ,6  ,104.38  ,,,,,,,,,
6,Acropora  ,8  ,33.83  ,Acropora  ,5  ,230.24  ,Acropora  ,2  ,210.96  ,Acropora  ,13  ,294.54  
7,Pocillopora  ,9  ,55.84  ,Pocillopora  ,6  ,108.14  ,Pocillopora  ,19  ,63.15  ,,,
8,Pocillopora  ,10  ,93.67  ,Pocillopora  ,8  ,117.3  ,,,,,,
9,Pocillopora  Pocillopora  ,11  14  ,15.09  26.27  ,Pocillopora  ,7  ,141.65  ,Pocillopora  ,3  ,52.52  ,,,
10,Pocillopora  ,15  ,144.28  ,Pocillopora  ,3  ,323.81  ,Pocillopora  Pocillopora  Pocillopora  ,1  9  10  ,17.79  6.39  23.32  ,,,
11,Acropora  ,18  ,31.6  ,Acropora  ,26  ,108.34  ,,,,,,
12,Pocillopora  ,19  ,6.88  ,Pocillopora  ,18  ,34.39  ,Pocillopora  ,8  ,26.76  ,,,
13,Pocillopora  ,20  ,48.65  ,Pocillopora  ,17  ,98.61  ,Pocillopora  ,7  ,34.26  ,,,
14,Pocillopora  ,21  ,24.42  ,,,,,,,,,
15,Pocillopora  ,22  ,38.18  ,Pocillopora  ,16  ,58.23  ,Pocillopora  ,6  ,60.77  ,Pocillopora  ,5  ,74.18  
16,Pocillopora  ,23  ,220.38  ,Pocillopora  ,15  ,252.85  ,Pocillopora  ,15  ,52.88  ,,,
17,Pocillopora  ,24  ,10.15  ,Pocillopora  ,12  ,68.88  ,,,,,,
18,Pocillopora  ,25  ,81.75  ,Pocillopora  ,11  ,62.96  ,,,,,,
19,Acropora  ,26  ,70.06  ,Acropora  ,10  ,107.22  ,,,,,,
20,Pocillopora  ,27  ,21.23  ,Pocillopora  ,9  ,68.32  ,,,,,,
21,Pocillopora  ,28  ,71.36  ,Pocillopora  ,13  ,165.85  ,Pocillopora  ,16  ,113.19  ,Pocillopora  ,6  ,39.01  
22,Pocillopora  ,29  ,10.92  ,Pocillopora  ,14  ,11.78  ,,,,,,
23,Pocillopora  ,30  ,21.1  ,Pocillopora  ,24  ,75.18  ,Pocillopora  ,17  ,49.5  ,,,
24,Pocillopora  ,31  ,56.03  ,Pocillopora  ,23  ,19.81  ,,,,,,
25,Pocillopora  ,32  ,169.5  ,Pocillopora  ,2  ,400.91  ,,,,,,
26,Pocillopora  ,33  ,31.04  ,Pocillopora  ,28  ,24.97  ,,,,,,
27,Pocillopora  ,34  ,101.15  ,Pocillopora  ,19  ,246.36  ,Pocillopora  ,11  ,238.88  ,Pocillopora  ,9  ,64.72  
28,Pocillopora  ,35  ,3.56  ,,,,,,,,,
29,Pocillopora  Pocillopora  ,36  38  ,11.89  39.23  ,Pocillopora  Pocillopora  ,21  22  ,40.26  10.62  ,,,,,,
30,Pocillopora  ,37  ,80.74  ,Pocillopora  ,20  ,133.27  ,,,,,,
31,Acropora  ,42  ,86.28  ,Acropora  ,25  ,144.07  ,Acropora  Acropora  ,13  20  ,3.57  4.73  ,,,
32,Pocillopora  ,44  ,33.91  ,Pocillopora  ,27  ,43.41  ,Pocillopora  ,12  ,55.26  ,,,
33,,,,,,,Pocillopora  ,4  ,5.3  ,Pocillopora  ,2  ,17.82  
34,,,,,,,Acropora  ,5  ,3.73  ,Acropora  ,11  ,8.04  
35,,,,,,,Pocillopora  ,14  ,17.34  ,Pocillopora  ,7  ,7.41  
36,,,,,,,Pocillopora  ,18  ,5.72  ,Pocillopora  ,10  ,27.35  
37,,,,,,,,,,Acropora  ,3  ,4.26  
38,,,,,,,,,,Pocillopora  ,4  ,4.45  
39,,,,,,,,,,Pocillopora  ,12  ,2.33  
