genet,2016_E2B_3 Class name,2016_E2B_3 Object id,2016_E2B_3 Area,2018_E2B_3 Class name,2018_E2B_3 Object id,2018_E2B_3 Area,2020_E2B_3 Class name,2020_E2B_3 Object id,2020_E2B_3 Area,2022_E2B_3 Class name,2022_E2B_3 Object id,2022_E2B_3 Area
0,Pocillopora  ,0  ,57.09  ,,,,,,,,,
1,Pocillopora  ,1  ,69.03  ,,,,,,,,,
2,Pocillopora  ,2  ,174.7  ,,,,,,,,,
3,Pocillopora  ,3  ,31.75  ,,,,,,,,,
4,Pocillopora  ,4  ,244.67  ,Pocillopora  ,7  ,481.81  ,,,,,,
5,Pocillopora  ,5  ,5.36  ,,,,,,,,,
6,Pocillopora  ,6  ,49.47  ,,,,,,,,,
7,Pocillopora  ,7  ,38.88  ,Pocillopora  ,8  ,56.5  ,Pocillopora  ,11  ,154.99  ,,,
8,Pocillopora  ,8  ,128.0  ,Pocillopora  Pocillopora  ,0  1  ,145.16  27.27  ,Pocillopora  Pocillopora  ,0  1  ,112.5  31.94  ,Pocillopora  ,4  ,128.8  
9,Pocillopora  ,9  ,55.97  ,,,,,,,,,
10,Pocillopora  ,10  ,43.99  ,,,,,,,,,
11,Pocillopora  ,11  ,4.06  ,,,,,,,,,
12,Pocillopora  ,12  ,123.55  ,,,,,,,,,
13,Pocillopora  ,13  ,51.06  ,,,,,,,,,
14,Pocillopora  ,14  ,13.11  ,,,,,,,,,
15,Pocillopora  ,15  ,75.53  ,Pocillopora  ,22  ,23.35  ,,,,,,
16,Pocillopora  ,16  ,6.05  ,,,,,,,,,
17,Pocillopora  ,17  ,3.44  ,,,,,,,,,
18,Pocillopora  ,18  ,18.9  ,,,,,,,,,
19,Pocillopora  ,19  ,52.04  ,,,,,,,,,
20,Pocillopora  ,20  ,1.16  ,,,,,,,,,
21,Pocillopora  ,21  ,184.63  ,Pocillopora  Pocillopora  ,11  12  ,53.53  2.81  ,,,,,,
22,Pocillopora  ,22  ,21.72  ,,,,,,,,,
23,Pocillopora  ,23  ,249.64  ,Pocillopora  Pocillopora  ,13  17  ,329.08  39.71  ,Pocillopora  ,8  ,65.36  ,,,
24,Pocillopora  ,24  ,77.36  ,Pocillopora  ,14  ,174.34  ,Pocillopora  ,9  ,75.61  ,,,
25,Acropora  ,25  ,13.76  ,Acropora  ,6  ,25.97  ,Acropora  ,6  ,31.89  ,Acropora  ,10  ,19.2  
26,Pocillopora  ,26  ,70.31  ,Pocillopora  ,10  ,100.12  ,,,,,,
27,Pocillopora  ,27  ,65.8  ,Pocillopora  ,9  ,113.65  ,,,,,,
28,Pocillopora  ,28  ,65.83  ,Pocillopora  ,5  ,94.83  ,Pocillopora  ,5  ,101.43  ,Pocillopora  Pocillopora  ,11  12  ,9.24  13.58  
29,Acropora  ,29  ,42.98  ,Acropora  ,15  ,193.43  ,,,,,,
30,Pocillopora  ,30  ,54.36  ,Pocillopora  ,4  ,102.3  ,Pocillopora  ,4  ,106.37  ,,,
31,Pocillopora  ,31  ,81.27  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,2  19  20  21  ,62.78  28.66  25.97  28.71  ,Pocillopora  Pocillopora  Pocillopora  Pocillopora  ,2  15  16  17  ,42.58  30.46  40.37  41.15  ,Pocillopora  Pocillopora  Pocillopora  ,5  6  7  ,58.79  42.04  50.97  
32,Pocillopora  ,32  ,4.36  ,,,,,,,,,
33,Pocillopora  ,33  ,6.6  ,,,,,,,,,
34,Pocillopora  ,34  ,79.36  ,Pocillopora  ,3  ,100.21  ,Pocillopora  ,3  ,73.21  ,Pocillopora  ,9  ,9.17  
35,Acropora  ,35  ,1.77  ,,,,,,,,,
36,Pocillopora  ,36  ,7.83  ,,,,,,,,,
37,,,,Pocillopora  ,16  ,95.61  ,,,,,,
38,,,,Pocillopora  ,18  ,17.43  ,Pocillopora  ,12  ,3.61  ,,,
39,,,,,,,Pocillopora  ,7  ,7.68  ,Pocillopora  ,8  ,32.36  
40,,,,,,,Pocillopora  ,10  ,3.28  ,,,
41,,,,,,,Pocillopora  ,13  ,1.25  ,,,
42,,,,,,,Acropora  ,14  ,3.01  ,Acropora  ,2  ,7.88  
43,,,,,,,Pocillopora  ,18  ,1.79  ,Pocillopora  ,3  ,8.73  
44,,,,,,,Pocillopora  ,19  ,1.24  ,,,
45,,,,,,,,,,Acropora  ,0  ,9.69  
