region_name,longitude,latitude,time_period,mmm,prob_dhw_4,prob_dhw_8,no_dhw_days_4,no_dhw_days_8,seas_sst_var,int_sst_var,trend_ann_sst,p_value
Polynesia,-144.32,-27.61,1985-2019,24.895266207503,0.29,0.14,802,286,1.771,0.32,0.007,0.216
Polynesia,-144.31,-27.61,1985-2019,24.8917568609186,0.26,0.17,755,312,1.77,0.32,0.007,0.214
Polynesia,-144.3,-27.61,1985-2019,24.8903665232524,0.23,0.17,696,315,1.77,0.32,0.007,0.214
Polynesia,-144.29,-27.61,1985-2019,24.8921701117114,0.2,0.17,697,316,1.77,0.32,0.007,0.213
Polynesia,-144.39,-27.6,1985-2019,24.9310776172475,0.26,0.14,799,268,1.779,0.32,0.007,0.217
Polynesia,-144.38,-27.6,1985-2019,24.9249463938088,0.29,0.14,788,262,1.778,0.32,0.007,0.217
Polynesia,-144.37,-27.6,1985-2019,24.9196682189531,0.29,0.14,796,261,1.776,0.32,0.007,0.217
Polynesia,-144.35,-27.6,1985-2019,24.9120879663938,0.29,0.14,796,263,1.774,0.32,0.007,0.217
Polynesia,-144.34,-27.6,1985-2019,24.907593952297,0.26,0.14,797,264,1.773,0.32,0.007,0.216
Polynesia,-144.32,-27.6,1985-2019,24.9006045607747,0.26,0.14,802,286,1.771,0.32,0.007,0.215
Polynesia,-144.31,-27.6,1985-2019,24.8970906071711,0.26,0.17,740,314,1.77,0.32,0.007,0.214
Polynesia,-144.3,-27.6,1985-2019,24.8957231610184,0.26,0.17,741,317,1.769,0.32,0.007,0.214
Polynesia,-144.29,-27.6,1985-2019,24.8966788886231,0.26,0.17,743,317,1.769,0.32,0.007,0.214
Polynesia,-144.39,-27.59,1985-2019,24.9353129968015,0.29,0.14,798,262,1.78,0.32,0.007,0.217
Polynesia,-144.38,-27.59,1985-2019,24.9291498405035,0.29,0.14,797,261,1.778,0.32,0.007,0.217
Polynesia,-144.31,-27.59,1985-2019,24.9034782671328,0.26,0.17,738,301,1.77,0.32,0.007,0.215
Polynesia,-144.3,-27.59,1985-2019,24.9023565792344,0.26,0.17,741,304,1.769,0.32,0.007,0.215
Polynesia,-144.29,-27.59,1985-2019,24.9033630726565,0.23,0.17,735,317,1.769,0.32,0.007,0.215
Polynesia,-144.38,-27.58,1985-2019,24.9342625523624,0.29,0.14,798,262,1.779,0.32,0.007,0.217
Polynesia,-144.37,-27.58,1985-2019,24.9300955204071,0.29,0.14,797,261,1.778,0.32,0.007,0.217
Polynesia,-144.36,-27.58,1985-2019,24.9259337129447,0.29,0.14,797,268,1.776,0.32,0.007,0.217
Polynesia,-144.35,-27.58,1985-2019,24.9227347200655,0.29,0.14,795,268,1.775,0.32,0.007,0.216
Polynesia,-144.34,-27.58,1985-2019,24.9205084684958,0.29,0.14,796,270,1.773,0.32,0.007,0.217
Polynesia,-144.33,-27.58,1985-2019,24.916973192798,0.29,0.14,795,271,1.772,0.32,0.007,0.216
Polynesia,-144.32,-27.58,1985-2019,24.9145621106114,0.29,0.14,796,276,1.77,0.32,0.007,0.217
Polynesia,-144.31,-27.58,1985-2019,24.9112290029512,0.26,0.17,739,303,1.769,0.32,0.007,0.216
Polynesia,-144.38,-27.57,1985-2019,24.9413795054443,0.29,0.14,800,262,1.781,0.32,0.007,0.218
Polynesia,-144.37,-27.57,1985-2019,24.937504961737,0.29,0.14,798,267,1.779,0.32,0.007,0.218
Polynesia,-144.36,-27.57,1985-2019,24.9345029228384,0.26,0.14,796,267,1.777,0.32,0.007,0.218
Polynesia,-144.35,-27.57,1985-2019,24.9313440627407,0.29,0.14,796,269,1.775,0.32,0.007,0.217
Polynesia,-144.34,-27.57,1985-2019,24.9280474680465,0.29,0.14,795,270,1.774,0.32,0.007,0.217
Polynesia,-144.33,-27.57,1985-2019,24.9257305751187,0.29,0.14,794,272,1.772,0.32,0.007,0.217
Polynesia,-144.32,-27.57,1985-2019,24.9224069443014,0.29,0.14,790,273,1.771,0.32,0.007,0.217
Polynesia,-144.35,-27.56,1985-2019,24.940886379049,0.29,0.14,797,267,1.776,0.32,0.007,0.218
Polynesia,-144.34,-27.56,1985-2019,24.9377160991154,0.29,0.14,795,269,1.774,0.32,0.007,0.218
Polynesia,-144.02,-27.45,1985-2019,25.0448271492628,0.26,0.2,754,373,1.79,0.322,0.006,0.295
Polynesia,-144.04,-27.44,1985-2019,25.0407715379999,0.29,0.17,808,351,1.788,0.322,0.006,0.29
Polynesia,-144.03,-27.44,1985-2019,25.0450095990854,0.23,0.17,757,349,1.79,0.322,0.006,0.295
Polynesia,-144.02,-27.44,1985-2019,25.0502436649381,0.26,0.17,757,344,1.79,0.322,0.006,0.299
Polynesia,-144.01,-27.44,1985-2019,25.0564118676863,0.23,0.17,748,338,1.791,0.322,0.006,0.302
Polynesia,-144,-27.44,1985-2019,25.0631544880069,0.26,0.17,745,336,1.791,0.322,0.006,0.305
Polynesia,-144.04,-27.43,1985-2019,25.0494037416794,0.29,0.17,800,349,1.789,0.322,0.006,0.294
Polynesia,-144.03,-27.43,1985-2019,25.053626411473,0.29,0.17,793,348,1.79,0.322,0.006,0.298
Polynesia,-144.02,-27.43,1985-2019,25.0576316571746,0.26,0.17,755,348,1.791,0.322,0.006,0.301
Polynesia,-144.01,-27.43,1985-2019,25.0636766654501,0.26,0.17,749,340,1.791,0.322,0.006,0.305
Polynesia,-144,-27.43,1985-2019,25.0707307618103,0.26,0.17,744,339,1.792,0.322,0.006,0.308
Polynesia,-144.04,-27.42,1985-2019,25.0589649641197,0.26,0.17,800,351,1.79,0.322,0.006,0.296
Polynesia,-144.03,-27.42,1985-2019,25.0620369608577,0.26,0.17,750,345,1.791,0.322,0.006,0.3
Polynesia,-144.02,-27.42,1985-2019,25.0659298103916,0.23,0.17,749,344,1.792,0.322,0.006,0.303
Polynesia,-144.01,-27.42,1985-2019,25.0720057790463,0.26,0.17,746,337,1.792,0.322,0.006,0.307
Polynesia,-144,-27.42,1985-2019,25.0779763480631,0.23,0.17,745,338,1.792,0.322,0.006,0.31
Polynesia,-144.03,-27.41,1985-2019,25.0712762755645,0.26,0.17,750,345,1.791,0.322,0.006,0.302
Polynesia,-144.02,-27.41,1985-2019,25.0752714373854,0.26,0.17,750,343,1.792,0.322,0.006,0.305
Polynesia,-144.01,-27.41,1985-2019,25.0791841702968,0.26,0.17,745,338,1.792,0.322,0.006,0.309
Polynesia,-130.13,-25.08,1985-2019,26.6022688695287,0.03,0.03,91,44,1.645,0.259,-0.003,0.67
Polynesia,-130.12,-25.08,1985-2019,26.6012333464246,0.03,0.03,92,45,1.645,0.259,-0.003,0.667
Polynesia,-130.11,-25.08,1985-2019,26.599851869971,0.03,0.03,92,51,1.645,0.259,-0.003,0.667
Polynesia,-130.1,-25.08,1985-2019,26.5995292723882,0.03,0.03,92,48,1.646,0.259,-0.003,0.668
Polynesia,-130.09,-25.08,1985-2019,26.6002664794172,0.03,0.03,92,54,1.646,0.259,-0.003,0.668
Polynesia,-130.13,-25.07,1985-2019,26.6071737937205,0.03,0.03,92,53,1.645,0.258,-0.003,0.679
Polynesia,-130.12,-25.07,1985-2019,26.604765869384,0.03,0.03,91,52,1.645,0.258,-0.003,0.676
Polynesia,-130.11,-25.07,1985-2019,26.6045485643899,0.03,0.03,92,54,1.645,0.258,-0.003,0.674
Polynesia,-130.1,-25.07,1985-2019,26.6042861170348,0.03,0.03,92,54,1.646,0.258,-0.003,0.673
Polynesia,-130.09,-25.07,1985-2019,26.6040377290737,0.03,0.03,92,54,1.646,0.258,-0.003,0.673
Polynesia,-130.13,-25.06,1985-2019,26.6120241326906,0.03,0.03,91,42,1.645,0.258,-0.003,0.688
Polynesia,-130.12,-25.06,1985-2019,26.6107927077617,0.03,0.03,90,52,1.645,0.258,-0.003,0.684
Polynesia,-130.11,-25.06,1985-2019,26.6094031611667,0.03,0.03,92,54,1.645,0.258,-0.003,0.681
Polynesia,-130.1,-25.06,1985-2019,26.6091903735411,0.03,0.03,93,55,1.646,0.258,-0.003,0.679
Polynesia,-130.09,-25.06,1985-2019,26.6090944419231,0.03,0.03,93,55,1.647,0.258,-0.003,0.679
Polynesia,-130.12,-25.05,1985-2019,26.6166118998579,0.03,0.03,92,54,1.645,0.258,-0.002,0.691
Polynesia,-130.11,-25.05,1985-2019,26.6163429109593,0.03,0.03,92,55,1.646,0.257,-0.003,0.687
Polynesia,-130.1,-25.05,1985-2019,26.6161173956071,0.03,0.03,93,56,1.646,0.257,-0.003,0.684
Polynesia,-124.8,-24.7,1985-2019,26.6182278592223,0.03,0,67,0,1.653,0.244,0.003,0.713
Polynesia,-124.79,-24.7,1985-2019,26.6136914145084,0.03,0,67,0,1.651,0.244,0.003,0.71
Polynesia,-124.78,-24.7,1985-2019,26.613087606365,0.03,0,66,0,1.65,0.244,0.003,0.708
Polynesia,-124.8,-24.69,1985-2019,26.6134245972619,0.03,0,66,0,1.65,0.244,0.003,0.708
Polynesia,-124.79,-24.69,1985-2019,26.6057682946989,0.03,0,67,0,1.648,0.244,0.003,0.703
Polynesia,-124.78,-24.69,1985-2019,26.6054532951415,0.03,0,66,0,1.647,0.244,0.003,0.702
Polynesia,-124.77,-24.69,1985-2019,26.6083063971629,0.03,0,65,0,1.646,0.244,0.003,0.703
Polynesia,-124.8,-24.68,1985-2019,26.6155522440465,0.03,0,66,0,1.649,0.245,0.003,0.703
Polynesia,-124.79,-24.68,1985-2019,26.6069821974468,0.03,0,66,0,1.647,0.245,0.003,0.701
Polynesia,-124.78,-24.68,1985-2019,26.6047018719269,0.03,0,66,0,1.645,0.245,0.003,0.698
Polynesia,-124.77,-24.68,1985-2019,26.6066480583837,0.03,0,66,0,1.645,0.245,0.003,0.698
Polynesia,-124.8,-24.67,1985-2019,26.6237804321506,0.03,0,67,0,1.648,0.246,0.003,0.701
