"year","area","site","spec"
"2020",14.22,"E2B","Pocillopora"
"2022",15.54,"E2B","Pocillopora"
"2022",3.06,"E2B","Pocillopora"
"2016",14.73,"E2B","Pocillopora"
"2018",25.27,"E2B","Pocillopora"
"2016",64.01,"E2B","Pocillopora"
"2018",60.56,"E2B","Pocillopora"
"2016",39.35,"E2B","Pocillopora"
"2018",153.76,"E2B","Pocillopora"
"2020",97.18,"E2B","Pocillopora"
"2022",50.38,"E2B","Pocillopora"
"2016",67.83,"E2B","Pocillopora"
"2016",41.2,"E2B","Pocillopora"
"2018",83.91,"E2B","Pocillopora"
"2020",105.9,"E2B","Pocillopora"
"2016",77.74,"E2B","Pocillopora"
"2016",115.48,"E2B","Pocillopora"
"2016",32.28,"E2B","Pocillopora"
"2016",32.3,"E2B","Pocillopora"
"2016",53.15,"E2B","Pocillopora"
"2018",76.11,"E2B","Pocillopora"
"2016",37.5,"E2B","Pocillopora"
"2018",102.5,"E2B","Pocillopora"
"2016",63.08,"E2B","Pocillopora"
"2016",200.36,"E2B","Pocillopora"
"2018",311.86,"E2B","Pocillopora"
"2020",349.86,"E2B","Pocillopora"
"2022",168.01,"E2B","Pocillopora"
"2016",137.83,"E2B","Pocillopora"
"2016",133.48,"E2B","Pocillopora"
"2018",312,"E2B","Pocillopora"
"2016",39.86,"E2B","Pocillopora"
"2016",23.17,"E2B","Pocillopora"
"2016",172.66,"E2B","Pocillopora"
"2018",185.47,"E2B","Pocillopora"
"2020",138.87,"E2B","Pocillopora"
"2022",28.89,"E2B","Pocillopora"
"2016",218.08,"E2B","Pocillopora"
"2018",325.65,"E2B","Pocillopora"
"2016",136.9,"E2B","Pocillopora"
"2018",80.86,"E2B","Pocillopora"
"2016",196.31,"E2B","Pocillopora"
"2018",428.55,"E2B","Pocillopora"
"2020",233.87,"E2B","Pocillopora"
"2022",42.55,"E2B","Pocillopora"
"2016",36.7,"E2B","Pocillopora"
"2018",86.26,"E2B","Pocillopora"
"2016",68.17,"E2B","Pocillopora"
"2018",131.08,"E2B","Pocillopora"
"2020",97.18,"E2B","Pocillopora"
"2016",122.21,"E2B","Pocillopora"
"2018",253.83,"E2B","Pocillopora"
"2020",116.01,"E2B","Pocillopora"
"2016",206.94,"E2B","Pocillopora"
"2018",124.52,"E2B","Pocillopora"
"2020",11.29,"E2B","Pocillopora"
"2022",34.03,"E2B","Pocillopora"
"2016",199.12,"E2B","Pocillopora"
"2018",329.46,"E2B","Pocillopora"
"2020",56.7,"E2B","Pocillopora"
"2022",64.47,"E2B","Pocillopora"
"2016",13.31,"E2B","Pocillopora"
"2016",40.39,"E2B","Pocillopora"
"2018",112.78,"E2B","Pocillopora"
"2020",57.23,"E2B","Pocillopora"
"2016",19.34,"E2B","Pocillopora"
"2016",142.43,"E2B","Pocillopora"
"2018",92.44,"E2B","Pocillopora"
"2016",119.17,"E2B","Pocillopora"
"2018",309.4,"E2B","Pocillopora"
"2020",207.87,"E2B","Pocillopora"
"2016",42.37,"E2B","Pocillopora"
"2018",49.61,"E2B","Pocillopora"
"2016",29.1,"E2B","Pocillopora"
"2018",70.48,"E2B","Pocillopora"
"2020",71.15,"E2B","Pocillopora"
"2016",40.4,"E2B","Pocillopora"
"2018",83.99,"E2B","Pocillopora"
"2020",67.82,"E2B","Pocillopora"
"2022",4.44,"E2B","Pocillopora"
"2016",271.48,"E2B","Pocillopora"
"2018",427.19,"E2B","Pocillopora"
"2020",351.69,"E2B","Pocillopora"
"2022",125.95,"E2B","Pocillopora"
"2020",2.23,"E2B","Pocillopora"
"2022",1,"E2B","Pocillopora"
"2016",42.56,"E2B","Pocillopora"
"2016",15.46,"E2B","Pocillopora"
"2018",5.03,"E2B","Pocillopora"
"2016",9.49,"E2B","Pocillopora"
"2018",23.27,"E2B","Pocillopora"
"2016",113.41,"E2B","Pocillopora"
"2018",221.2,"E2B","Pocillopora"
"2020",259.56,"E2B","Pocillopora"
"2022",50.57,"E2B","Pocillopora"
"2016",77.94,"E2B","Pocillopora"
"2018",164.68,"E2B","Pocillopora"
"2020",150.57,"E2B","Pocillopora"
"2022",117.14,"E2B","Pocillopora"
"2016",23.91,"E2B","Pocillopora"
"2016",37.49,"E2B","Pocillopora"
"2018",29.16,"E2B","Pocillopora"
"2016",330.99,"E2B","Pocillopora"
"2018",803.83,"E2B","Pocillopora"
"2020",333.91,"E2B","Pocillopora"
"2022",33.95,"E2B","Pocillopora"
"2016",149.89,"E2B","Pocillopora"
"2018",139.59,"E2B","Pocillopora"
"2016",61.02,"E2B","Pocillopora"
"2018",115.37,"E2B","Pocillopora"
"2016",45.91,"E2B","Pocillopora"
"2018",22.35,"E2B","Pocillopora"
"2016",56.62,"E2B","Pocillopora"
"2018",90.57,"E2B","Pocillopora"
"2020",80.07,"E2B","Pocillopora"
"2016",163.57,"E2B","Pocillopora"
"2018",188.72,"E2B","Pocillopora"
"2020",86.41,"E2B","Pocillopora"
"2016",212.56,"E2B","Pocillopora"
"2018",197,"E2B","Pocillopora"
"2020",50.44,"E2B","Pocillopora"
"2022",27.7,"E2B","Pocillopora"
"2016",353.53,"E2B","Pocillopora"
"2018",192.49,"E2B","Pocillopora"
"2020",128.47,"E2B","Pocillopora"
"2022",115.55,"E2B","Pocillopora"
"2016",35.47,"E2B","Pocillopora"
"2016",12.44,"E2B","Pocillopora"
"2016",48.92,"E2B","Pocillopora"
"2016",13.57,"E2B","Pocillopora"
"2016",41.87,"E2B","Pocillopora"
"2018",72.93,"E2B","Pocillopora"
"2016",35.63,"E2B","Pocillopora"
"2018",107.81,"E2B","Pocillopora"
"2016",105.96,"E2B","Pocillopora"
"2018",207.73,"E2B","Pocillopora"
"2020",179.41,"E2B","Pocillopora"
"2022",137.51,"E2B","Pocillopora"
"2016",72.89,"E2B","Pocillopora"
"2016",13,"E2B","Pocillopora"
"2018",11.83,"E2B","Pocillopora"
"2020",35.32,"E2B","Pocillopora"
"2016",76.85,"E2B","Pocillopora"
"2018",84.41,"E2B","Pocillopora"
"2020",98.55,"E2B","Pocillopora"
"2016",37.29,"E2B","Pocillopora"
"2016",38.74,"E2B","Pocillopora"
"2018",21.22,"E2B","Pocillopora"
"2016",34.31,"E2B","Pocillopora"
"2018",65.13,"E2B","Pocillopora"
"2020",20.07,"E2B","Pocillopora"
"2016",67.4,"E2B","Pocillopora"
"2018",93.36,"E2B","Pocillopora"
"2016",15.02,"E2B","Pocillopora"
"2018",84.67,"E2B","Pocillopora"
"2020",15.34,"E2B","Pocillopora"
"2016",66.24,"E2B","Pocillopora"
"2018",145.26,"E2B","Pocillopora"
"2020",50.8,"E2B","Pocillopora"
"2022",25.73,"E2B","Pocillopora"
"2016",268.03,"E2B","Pocillopora"
"2018",452.21,"E2B","Pocillopora"
"2020",348.95,"E2B","Pocillopora"
"2016",55.89,"E2B","Pocillopora"
"2018",56.64,"E2B","Pocillopora"
"2016",160.85,"E2B","Pocillopora"
"2018",324.39,"E2B","Pocillopora"
"2020",229.37,"E2B","Pocillopora"
"2018",15.72,"E2B","Pocillopora"
"2020",6.22,"E2B","Pocillopora"
"2022",42.07,"E2B","Pocillopora"
"2022",0.78,"E2B","Pocillopora"
"2016",210.09,"E2B","Pocillopora"
"2018",57.63,"E2B","Pocillopora"
"2016",60.1,"E2B","Pocillopora"
"2018",24.13,"E2B","Pocillopora"
"2016",15.24,"E2B","Pocillopora"
"2016",56.16,"E2B","Pocillopora"
"2016",90.37,"E2B","Pocillopora"
"2018",83.31,"E2B","Pocillopora"
"2016",35.98,"E2B","Pocillopora"
"2018",123.37,"E2B","Pocillopora"
"2016",24.18,"E2B","Pocillopora"
"2018",69.22,"E2B","Pocillopora"
"2020",63.97,"E2B","Pocillopora"
"2022",39.26,"E2B","Pocillopora"
"2016",270.85,"E2B","Pocillopora"
"2018",356.03,"E2B","Pocillopora"
"2020",328.62,"E2B","Pocillopora"
"2022",64.68,"E2B","Pocillopora"
"2016",60.52,"E2B","Pocillopora"
"2016",129.72,"E2B","Pocillopora"
"2018",268.1,"E2B","Pocillopora"
"2020",341.43,"E2B","Pocillopora"
"2022",124.56,"E2B","Pocillopora"
"2016",9.19,"E2B","Pocillopora"
"2018",40.71,"E2B","Pocillopora"
"2016",16.62,"E2B","Pocillopora"
"2018",9.59,"E2B","Pocillopora"
"2016",4.81,"E2B","Pocillopora"
"2018",26.29,"E2B","Pocillopora"
"2020",48.75,"E2B","Pocillopora"
"2022",40.7,"E2B","Pocillopora"
"2016",112.23,"E2B","Pocillopora"
"2018",330.43,"E2B","Pocillopora"
"2020",47.72,"E2B","Pocillopora"
"2016",179.44,"E2B","Pocillopora"
"2018",191.13,"E2B","Pocillopora"
"2020",4.84,"E2B","Pocillopora"
"2016",17.17,"E2B","Pocillopora"
"2018",37.49,"E2B","Pocillopora"
"2016",210.6,"E2B","Pocillopora"
"2018",142.11,"E2B","Pocillopora"
"2020",7.59,"E2B","Pocillopora"
"2022",13.22,"E2B","Pocillopora"
"2016",398.15,"E2B","Pocillopora"
"2018",612.32,"E2B","Pocillopora"
"2020",26.79,"E2B","Pocillopora"
"2016",103.12,"E2B","Pocillopora"
"2018",297.69,"E2B","Pocillopora"
"2020",94.72,"E2B","Pocillopora"
"2016",57.93,"E2B","Pocillopora"
"2018",91.88,"E2B","Pocillopora"
"2020",61.73,"E2B","Pocillopora"
"2016",21.96,"E2B","Pocillopora"
"2018",77.15,"E2B","Pocillopora"
"2020",102.48,"E2B","Pocillopora"
"2016",13.51,"E2B","Pocillopora"
"2018",26.36,"E2B","Pocillopora"
"2020",26.76,"E2B","Pocillopora"
"2016",21.99,"E2B","Pocillopora"
"2018",37.65,"E2B","Pocillopora"
"2016",16.53,"E2B","Pocillopora"
"2018",90.54,"E2B","Pocillopora"
"2020",128.94,"E2B","Pocillopora"
"2022",146.23,"E2B","Pocillopora"
"2016",71.72,"E2B","Pocillopora"
"2018",131.23,"E2B","Pocillopora"
"2016",1.94,"E2B","Pocillopora"
"2016",193.02,"E2B","Pocillopora"
"2018",237.81,"E2B","Pocillopora"
"2020",9.01,"E2B","Pocillopora"
"2016",238.95,"E2B","Pocillopora"
"2018",390.2,"E2B","Pocillopora"
"2016",2.91,"E2B","Pocillopora"
"2018",23.52,"E2B","Pocillopora"
"2018",2.44,"E2B","Pocillopora"
"2018",9.41,"E2B","Pocillopora"
"2018",122.34,"E2B","Pocillopora"
"2020",67.24,"E2B","Pocillopora"
"2018",16.31,"E2B","Pocillopora"
"2020",30.57,"E2B","Pocillopora"
"2018",5.82,"E2B","Pocillopora"
"2020",3.47,"E2B","Pocillopora"
"2022",5.91,"E2B","Pocillopora"
"2020",1,"E2B","Pocillopora"
"2022",1.13,"E2B","Pocillopora"
"2020",0.48,"E2B","Pocillopora"
"2022",2.37,"E2B","Pocillopora"
"2020",1.84,"E2B","Pocillopora"
"2020",8.5,"E2B","Pocillopora"
"2022",2.04,"E2B","Pocillopora"
"2022",9.97,"E2B","Pocillopora"
"2022",8.75,"E2B","Pocillopora"
"2022",1.47,"E2B","Pocillopora"
"2022",3.74,"E2B","Pocillopora"
"2022",2.69,"E2B","Pocillopora"
"2016",187.23,"E2B","Pocillopora"
"2018",322.46,"E2B","Pocillopora"
"2020",393.75,"E2B","Pocillopora"
"2022",296.13,"E2B","Pocillopora"
"2016",266.79,"E2B","Pocillopora"
"2018",363.67,"E2B","Pocillopora"
"2020",339,"E2B","Pocillopora"
"2022",63.6,"E2B","Pocillopora"
"2016",20.31,"E2B","Pocillopora"
"2016",151.33,"E2B","Pocillopora"
"2016",25.57,"E2B","Pocillopora"
"2018",23.66,"E2B","Pocillopora"
"2020",31.57,"E2B","Pocillopora"
"2016",52.43,"E2B","Pocillopora"
"2018",111.36,"E2B","Pocillopora"
"2016",41.02,"E2B","Pocillopora"
"2018",56.26,"E2B","Pocillopora"
"2020",81.53,"E2B","Pocillopora"
"2022",41.38,"E2B","Pocillopora"
"2016",39.44,"E2B","Pocillopora"
"2018",44.74,"E2B","Pocillopora"
"2016",7.63,"E2B","Pocillopora"
"2016",4.5,"E2B","Pocillopora"
"2016",109.46,"E2B","Pocillopora"
"2018",230.49,"E2B","Pocillopora"
"2016",42.09,"E2B","Pocillopora"
"2018",95.33,"E2B","Pocillopora"
"2020",136.68,"E2B","Pocillopora"
"2016",42.07,"E2B","Pocillopora"
"2018",44.55,"E2B","Pocillopora"
"2020",17.11,"E2B","Pocillopora"
"2016",143.62,"E2B","Pocillopora"
"2018",231.04,"E2B","Pocillopora"
"2020",200.16,"E2B","Pocillopora"
"2022",39.96,"E2B","Pocillopora"
"2016",24.5,"E2B","Pocillopora"
"2018",49.71,"E2B","Pocillopora"
"2020",28.32,"E2B","Pocillopora"
"2016",41.43,"E2B","Pocillopora"
"2018",59.05,"E2B","Pocillopora"
"2020",4.33,"E2B","Pocillopora"
"2016",143.31,"E2B","Pocillopora"
"2018",225.09,"E2B","Pocillopora"
"2020",26.23,"E2B","Pocillopora"
"2016",11.86,"E2B","Pocillopora"
"2018",25.19,"E2B","Pocillopora"
"2016",77.51,"E2B","Pocillopora"
"2018",123.81,"E2B","Pocillopora"
"2016",10.04,"E2B","Pocillopora"
"2018",36.31,"E2B","Pocillopora"
"2020",40.46,"E2B","Pocillopora"
"2016",45.15,"E2B","Pocillopora"
"2018",139.96,"E2B","Pocillopora"
"2020",117.26,"E2B","Pocillopora"
"2016",57.01,"E2B","Pocillopora"
"2018",90.3,"E2B","Pocillopora"
"2020",12.48,"E2B","Pocillopora"
"2016",43.64,"E2B","Pocillopora"
"2018",82.49,"E2B","Pocillopora"
"2020",10.63,"E2B","Pocillopora"
"2016",96.92,"E2B","Pocillopora"
"2018",102.37,"E2B","Pocillopora"
"2016",168.47,"E2B","Pocillopora"
"2018",223.07,"E2B","Pocillopora"
"2020",236.32,"E2B","Pocillopora"
"2016",13.62,"E2B","Pocillopora"
"2018",77.49,"E2B","Pocillopora"
"2016",35.11,"E2B","Pocillopora"
"2018",64.99,"E2B","Pocillopora"
"2020",57.86,"E2B","Pocillopora"
"2022",59.2,"E2B","Pocillopora"
"2016",42.65,"E2B","Pocillopora"
"2018",117.79,"E2B","Pocillopora"
"2020",84.49,"E2B","Pocillopora"
"2016",85.63,"E2B","Pocillopora"
"2018",189.9,"E2B","Pocillopora"
"2016",11.66,"E2B","Pocillopora"
"2018",48.24,"E2B","Pocillopora"
"2020",41.56,"E2B","Pocillopora"
"2022",66.56,"E2B","Pocillopora"
"2016",2.44,"E2B","Pocillopora"
"2016",147.96,"E2B","Pocillopora"
"2018",244.62,"E2B","Pocillopora"
"2020",77.1,"E2B","Pocillopora"
"2018",7.99,"E2B","Pocillopora"
"2020",35.94,"E2B","Pocillopora"
"2022",65.73,"E2B","Pocillopora"
"2018",185.07,"E2B","Pocillopora"
"2020",70.85,"E2B","Pocillopora"
"2018",26.17,"E2B","Pocillopora"
"2020",27.23,"E2B","Pocillopora"
"2018",8.54,"E2B","Pocillopora"
"2018",18.62,"E2B","Pocillopora"
"2018",7.75,"E2B","Pocillopora"
"2020",46.95,"E2B","Pocillopora"
"2018",6.52,"E2B","Pocillopora"
"2020",14.26,"E2B","Pocillopora"
"2020",18.76,"E2B","Pocillopora"
"2020",3.71,"E2B","Pocillopora"
"2020",119.6,"E2B","Pocillopora"
"2022",101.61,"E2B","Pocillopora"
"2020",3.5,"E2B","Pocillopora"
"2020",1.57,"E2B","Pocillopora"
"2022",5.69,"E2B","Pocillopora"
"2020",1.97,"E2B","Pocillopora"
"2020",1.28,"E2B","Pocillopora"
"2020",10.77,"E2B","Pocillopora"
"2022",4.81,"E2B","Pocillopora"
"2022",6.45,"E2B","Pocillopora"
"2022",2.25,"E2B","Pocillopora"
"2016",29.63,"E2B","Pocillopora"
"2018",32.1,"E2B","Pocillopora"
"2020",12.94,"E2B","Pocillopora"
"2016",191.45,"E2B","Pocillopora"
"2018",358.84,"E2B","Pocillopora"
"2020",132.95,"E2B","Pocillopora"
"2022",47.9,"E2B","Pocillopora"
"2016",34.44,"E2B","Pocillopora"
"2018",43.6,"E2B","Pocillopora"
"2016",51.09,"E2B","Pocillopora"
"2016",5,"E2B","Pocillopora"
"2018",79.31,"E2B","Pocillopora"
"2016",9.24,"E2B","Pocillopora"
"2016",25.48,"E2B","Pocillopora"
"2016",37.42,"E2B","Pocillopora"
"2016",26.03,"E2B","Pocillopora"
"2016",32.18,"E2B","Pocillopora"
"2018",20.59,"E2B","Pocillopora"
"2016",215.17,"E2B","Pocillopora"
"2018",400.25,"E2B","Pocillopora"
"2020",138.33,"E2B","Pocillopora"
"2022",64.29,"E2B","Pocillopora"
"2016",13.63,"E2B","Pocillopora"
"2018",57.31,"E2B","Pocillopora"
"2020",63.86,"E2B","Pocillopora"
"2016",49.7,"E2B","Pocillopora"
"2018",116.16,"E2B","Pocillopora"
"2020",143.5,"E2B","Pocillopora"
"2022",67.29,"E2B","Pocillopora"
"2016",70.13,"E2B","Pocillopora"
"2018",205.24,"E2B","Pocillopora"
"2016",114.5,"E2B","Pocillopora"
"2018",225,"E2B","Pocillopora"
"2020",148.18,"E2B","Pocillopora"
