"site","quadrat","ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","dia","comparison"
"E2B","10","13","Pocillopora","16  ",36.48,"Pocillopora","14  ",19.27,"survived",-0.471765350877193,6.81526071342386,"2016_2018"
"E2B","10","14","Pocillopora","17  18  ",288.65,"Pocillopora","10  ",483.73,"survived",0.67583578728564,19.1708266537415,"2016_2018"
"E2B","10","15","Acropora","19  ",26.17,NA,"",0,"died",NA,5.77240668055528,"2016_2018"
"E2B","10","16","Pocillopora","20  ",7.22,NA,"",0,"died",NA,3.03196133105089,"2016_2018"
"E2B","10","17","Pocillopora","21  ",155.87,"Pocillopora","12  ",345.3,"survived",1.21530762815166,14.0875777846254,"2016_2018"
"E2B","10","18","Pocillopora","22  ",18,NA,"",0,"died",NA,4.78730736481719,"2016_2018"
"E2B","10","19","Acropora","23  ",24.44,"Acropora","21  ",37.04,"survived",0.515548281505728,5.57834872281461,"2016_2018"
"E2B","10","20","Acropora","24  ",25.09,"Acropora","20  ",26.04,"survived",0.0378636907134316,5.65204212452501,"2016_2018"
"E2B","10","21","Acropora","25  26  ",169.32,"Acropora","23  ",278.88,"survived",0.647058823529412,14.6828103479735,"2016_2018"
"E2B","10","22","Pocillopora","27  ",44.48,"Pocillopora","24  ",54.53,"survived",0.225944244604317,7.52553619018738,"2016_2018"
"E2B","10","23","Pocillopora","28  ",60.63,NA,"",0,"died",NA,8.78615465361798,"2016_2018"
"E2B","10","24","Pocillopora","29  ",35.04,NA,"",0,"died",NA,6.67939470667216,"2016_2018"
"E2B","10","25","Pocillopora","30  ",132.35,"Pocillopora","25  ",251.47,"survived",0.900037778617303,12.981265490918,"2016_2018"
"E2B","10","26","Pocillopora","33  ",128.18,NA,"",0,"died",NA,12.775126020676,"2016_2018"
"E2B","10","27","Pocillopora","34  ",129.97,NA,"",0,"died",NA,12.8640173985124,"2016_2018"
"E2B","10","28","Pocillopora","37  ",134.38,"Pocillopora","17  ",212.94,"survived",0.584610805179342,13.0804407426322,"2016_2018"
"E2B","10","29","Pocillopora","38  ",32.5,"Pocillopora","31  ",57.66,"survived",0.774153846153846,6.43275098258069,"2016_2018"
"E2B","10","30","Pocillopora","40  ",255.93,"Pocillopora","8  ",559.58,"survived",1.18645723440003,18.0515981753436,"2016_2018"
"E2B","10","31","Pocillopora","43  ",39.21,"Pocillopora","5  6  ",60.29,"survived",0.537617954603417,7.06567212295233,"2016_2018"
"E2B","10","32","Pocillopora","44  ",86.48,"Pocillopora","3  ",153.35,"survived",0.773242368177613,10.4933195809857,"2016_2018"
"E2B","10","33","Pocillopora","46  ",6.89,NA,"",0,"died",NA,2.96186097972631,"2016_2018"
"E2B","11","0","Acropora","1  ",19.75,"Acropora","1  ",159.65,"survived",7.08354430379747,5.01462670679677,"2016_2018"
"E2B","11","1","Pocillopora","2  ",14.73,"Pocillopora","24  ",25.27,"survived",0.715546503733876,4.33068337493622,"2016_2018"
"E2B","11","2","Pocillopora","3  ",64.01,"Pocillopora","25  ",60.56,"survived",-0.0538978284643025,9.02773854619737,"2016_2018"
"E2B","11","3","Pocillopora","4  ",39.35,"Pocillopora","0  ",153.76,"survived",2.90749682337992,7.07827493711064,"2016_2018"
"E2B","11","4","Pocillopora","5  ",67.83,NA,"",0,"died",NA,9.29321463861597,"2016_2018"
"E2B","11","5","Pocillopora","6  ",41.2,"Pocillopora","9  ",83.91,"survived",1.03665048543689,7.24275287740019,"2016_2018"
"E2B","11","6","Pocillopora","7  ",77.74,NA,"",0,"died",NA,9.94895181452356,"2016_2018"
"E2B","11","7","Pocillopora","8  ",115.48,NA,"",0,"died",NA,12.125745446199,"2016_2018"
"E2B","11","8","Pocillopora","9  ",32.28,NA,"",0,"died",NA,6.41094162382181,"2016_2018"
"E2B","11","9","Pocillopora","10  ",32.3,NA,"",0,"died",NA,6.41292735768508,"2016_2018"
"E2B","11","10","Pocillopora","12  ",53.15,"Pocillopora","20  ",76.11,"survived",0.431984948259643,8.22634072979438,"2016_2018"
"E2B","11","11","Pocillopora","13  ",37.5,"Pocillopora","18  ",102.5,"survived",1.73333333333333,6.90988298942671,"2016_2018"
"E2B","11","12","Pocillopora","14  ",63.08,NA,"",0,"died",NA,8.96191667456767,"2016_2018"
"E2B","11","13","Pocillopora","15  ",200.36,"Pocillopora","12  ",311.86,"survived",0.556498303054502,15.9720466810969,"2016_2018"
"E2B","11","14","Pocillopora","16  ",137.83,NA,"",0,"died",NA,13.2472867580817,"2016_2018"
"E2B","11","15","Pocillopora","17  ",133.48,"Pocillopora","13  ",312,"survived",1.33742882828888,13.0365645179721,"2016_2018"
"E2B","11","16","Pocillopora","18  ",39.86,NA,"",0,"died",NA,7.12399664887229,"2016_2018"
"E2B","11","17","Pocillopora","19  ",23.17,NA,"",0,"died",NA,5.43147864319779,"2016_2018"
"E2B","11","18","Pocillopora","20  ",172.66,"Pocillopora","14  ",185.47,"survived",0.0741920537472489,14.826919430346,"2016_2018"
"E2B","11","19","Pocillopora","21  ",218.08,"Pocillopora","15  ",325.65,"survived",0.49325935436537,16.6633754058367,"2016_2018"
"E2B","11","20","Pocillopora","22  ",136.9,"Pocillopora","16  27  ",80.86,"survived",-0.409349890430972,13.2025184595305,"2016_2018"
"E2B","11","21","Acropora","23  ",47.84,NA,"",0,"died",NA,7.80459991416153,"2016_2018"
"E2B","11","22","Pocillopora","24  ",196.31,"Pocillopora","17  ",428.55,"survived",1.18302684529571,15.8097961728468,"2016_2018"
"E2B","11","23","Pocillopora","26  ",36.7,"Pocillopora","19  ",86.26,"survived",1.35040871934605,6.83578022553245,"2016_2018"
"E2B","11","24","Pocillopora","27  ",68.17,"Pocillopora","22  ",131.08,"survived",0.922839958926214,9.31647678924796,"2016_2018"
"E2B","11","25","Pocillopora","28  ",122.21,"Pocillopora","10  ",253.83,"survived",1.0769986089518,12.4740773110513,"2016_2018"
"E2B","11","26","Pocillopora","29  ",206.94,"Pocillopora","2  7  23  ",124.52,"survived",-0.398279694597468,16.2321961356895,"2016_2018"
"E2B","11","27","Pocillopora","30  32  ",199.12,"Pocillopora","8  ",329.46,"survived",0.654580152671756,15.9225455925761,"2016_2018"
"E2B","11","28","Pocillopora","31  ",13.31,NA,"",0,"died",NA,4.11665135036051,"2016_2018"
"E2B","11","29","Pocillopora","35  ",40.39,"Pocillopora","3  ",112.78,"survived",1.7922753156722,7.17120249413257,"2016_2018"
"E2B","11","30","Pocillopora","36  ",19.34,NA,"",0,"died",NA,4.96230317445217,"2016_2018"
"E2B","11","31","Acropora","37  ",6.51,NA,"",0,"died",NA,2.87902577901378,"2016_2018"
"E2B","11","32","Pocillopora","38  ",142.43,"Pocillopora","4  ",92.44,"survived",-0.350979428491189,13.4665329003656,"2016_2018"
"E2B","11","33","Pocillopora","39  ",119.17,"Pocillopora","5  ",309.4,"survived",1.5962910128388,12.3179526117813,"2016_2018"
"E2B","11","34","Pocillopora","40  ",42.37,"Pocillopora","26  ",49.61,"survived",0.170875619542129,7.34487300846167,"2016_2018"
"E2B","11","35","Pocillopora","41  ",29.1,"Pocillopora","6  ",70.48,"survived",1.42199312714777,6.08697550116585,"2016_2018"
"E2B","11","36","Pocillopora","42  ",40.4,"Pocillopora","11  ",83.99,"survived",1.0789603960396,7.17209018399104,"2016_2018"
"E2B","11","37","Pocillopora","43  ",271.48,"Pocillopora","21  28  ",427.19,"survived",0.573559746574333,18.5919087671143,"2016_2018"
"E2B","12","0","Pocillopora","0  ",42.56,NA,"",0,"died",NA,7.36132291262437,"2016_2018"
"E2B","12","1","Pocillopora","1  ",15.46,"Pocillopora","1  ",5.03,"survived",-0.674644243208279,4.43669734843449,"2016_2018"
"E2B","12","2","Pocillopora","2  ",9.49,"Pocillopora","0  ",23.27,"survived",1.45205479452055,3.47606721447338,"2016_2018"
"E2B","12","3","Pocillopora","3  29  ",113.41,"Pocillopora","15  ",221.2,"survived",0.950445287011727,12.0165759169746,"2016_2018"
