"site","quadrat","ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","dia","comparison"
"HAA","04","2","Pocillopora","2  ",44.04,"Pocillopora","21  ",71.83,"survived",0.631017257039055,7.48822205534375,"2016_2018"
"HAA","04","3","Pocillopora","3  ",126.79,"Pocillopora","6  ",217.97,"survived",0.719141888161527,12.7056696744788,"2016_2018"
"HAA","04","4","Pocillopora","4  ",16.5,NA,"",0,"died",NA,4.58349784423754,"2016_2018"
"HAA","04","5","Pocillopora","5  6  8  ",174.7,"Pocillopora","7  8  ",256.23,"survived",0.466685746994848,14.9142531983748,"2016_2018"
"HAA","04","6","Pocillopora","7  ",72.59,"Pocillopora","9  ",217,"survived",1.9893924783028,9.6137640158434,"2016_2018"
"HAA","04","7","Pocillopora","9  ",110.86,"Pocillopora","11  ",150.98,"survived",0.361897889229659,11.8807127702567,"2016_2018"
"HAA","04","8","Pocillopora","10  ",6.17,"Pocillopora","13  ",20.52,"survived",2.3257698541329,2.80283570531987,"2016_2018"
"HAA","04","9","Pocillopora","11  ",41.17,"Pocillopora","10  ",53.61,"survived",0.302161768277872,7.24011547261138,"2016_2018"
"HAA","04","10","Pocillopora","12  ",266.18,"Pocillopora","20  ",629.57,"survived",1.36520399729506,18.4095329114458,"2016_2018"
"HAA","04","11","Pocillopora","13  ",35.05,"Pocillopora","22  ",93.5,"survived",1.66761768901569,6.68034774865556,"2016_2018"
"HAA","04","12","Acropora","14  ",1.47,NA,"",0,"died",NA,1.36808703332818,"2016_2018"
"HAA","04","13","Pocillopora","15  ",28.54,"Pocillopora","18  ",46.95,"survived",0.645059565522074,6.02812214597063,"2016_2018"
"HAA","04","14","Pocillopora","16  ",5.15,"Pocillopora","19  ",22.31,"survived",3.33203883495146,2.56069983703403,"2016_2018"
"HAA","04","15","Pocillopora","17  ",103.83,"Pocillopora","16  17  ",36.4,"survived",-0.649426947895599,11.4978459691306,"2016_2018"
"HAA","04","16","Pocillopora","18  ",112.79,"Pocillopora","12  ",274.09,"survived",1.4300913201525,11.9836842519602,"2016_2018"
"HAA","04","17","Pocillopora","19  ",23.59,NA,"",0,"died",NA,5.48048545845188,"2016_2018"
"HAA","04","18","Pocillopora","20  ",151.44,"Pocillopora","24  ",442.28,"survived",1.92049656629688,13.8859424114711,"2016_2018"
"HAA","04","19","Pocillopora","21  ",73.08,"Pocillopora","26  ",70.24,"survived",-0.0388615216201424,9.64615705497509,"2016_2018"
"HAA","04","20","Pocillopora","22  ",19.25,"Pocillopora","15  ",52.63,"survived",1.73402597402597,4.95074350336915,"2016_2018"
"HAA","04","21","Pocillopora","23  ",15.52,"Pocillopora","29  ",52.83,"survived",2.40399484536082,4.44529838529313,"2016_2018"
"HAA","04","22","Pocillopora","24  ",26.8,"Pocillopora","30  ",49.83,"survived",0.859328358208955,5.84147411180623,"2016_2018"
"HAA","04","23","Pocillopora","25  ",2.92,"Pocillopora","25  ",25.13,"survived",7.60616438356164,1.92817516596047,"2016_2018"
"HAA","04","24","Pocillopora","26  ",5.4,"Pocillopora","28  ",34.93,"survived",5.46851851851852,2.62211623342099,"2016_2018"
"HAA","04","25","Pocillopora","27  ",7.44,"Pocillopora","5  ",25.76,"survived",2.46236559139785,3.07780802078843,"2016_2018"
"HAA","04","26","Pocillopora","28  ",2.06,"Pocillopora","27  ",16.12,"survived",6.8252427184466,1.6195287778099,"2016_2018"
"HAA","05","0","Pocillopora","0",29.74,"Pocillopora","7",101.48,"survived",2.41223940820444,6.15354727457454,"2016_2018"
"HAA","05","1","Pocillopora","1",24.06,NA,NA,0,"died",NA,5.53481196124385,"2016_2018"
"HAA","05","2","Pocillopora","2",400.58,"Pocillopora","3",997.72,"survived",1.49068850167258,22.5839389130863,"2016_2018"
"HAA","05","3","Pocillopora","3",6.62,NA,NA,0,"died",NA,2.9032474552037,"2016_2018"
"HAA","05","4","Pocillopora","4",53.22,"Pocillopora","4",148.68,"survived",1.79368658399098,8.231756104915,"2016_2018"
"HAA","05","5","Pocillopora","5",4.06,"Pocillopora","6",36.79,"survived",8.0615763546798,2.27362102198778,"2016_2018"
"HAA","05","6","Pocillopora","6",21.89,"Pocillopora","5",58.82,"survived",1.6870717222476,5.27931942907916,"2016_2018"
"HAA","05","7","Pocillopora","7",63.24,"Pocillopora","8",136.28,"survived",1.15496521189121,8.97327525539319,"2016_2018"
"HAA","05","8","Acropora","8",22.97,"Acropora","10",146.3,"survived",5.36917718763605,5.4079859783996,"2016_2018"
"HAA","05","9","Pocillopora","9",9.98,"Pocillopora","13",84.96,"survived",7.51302605210421,3.56467819816276,"2016_2018"
"HAA","05","10","Pocillopora","10",289.35,"Pocillopora","14",659.45,"survived",1.27907378607223,19.1940579937938,"2016_2018"
"HAA","05","11","Pocillopora","11",92.05,"Pocillopora","11",160.71,"survived",0.7458989679522,10.8259734016333,"2016_2018"
"HAA","05","12","Pocillopora","12",1.51,"Pocillopora","2",11.85,"survived",6.8476821192053,1.38657553438321,"2016_2018"
"HAA","06","0","Pocillopora","0  ",7.86,NA,"",0,"died",NA,3.16348902663157,"2016_2018"
"HAA","06","1","Pocillopora","1  ",46.98,"Pocillopora","2  ",21.85,"survived",-0.534908471690081,7.73413174258481,"2016_2018"
"HAA","06","2","Pocillopora","2  ",3.77,"Pocillopora","1  ",16.23,"survived",3.30503978779841,2.19091603756318,"2016_2018"
"HAA","06","3","Pocillopora","3  ",1.78,NA,"",0,"died",NA,1.5054455784347,"2016_2018"
"HAA","06","4","Pocillopora","4  ",114.14,"Pocillopora","5  ",185.11,"survived",0.621780269844051,12.0551881626158,"2016_2018"
"HAA","06","5","Pocillopora","5  ",7.69,"Pocillopora","6  ",86.94,"survived",10.3055916775032,3.12909125769981,"2016_2018"
"HAA","06","6","Pocillopora","6  ",41.17,NA,"",0,"died",NA,7.24011547261138,"2016_2018"
"HAA","06","7","Pocillopora","7  ",207.69,"Pocillopora","8  ",534.81,"survived",1.57503972266358,16.261584210834,"2016_2018"
"HAA","06","8","Pocillopora","8  ",25.37,NA,"",0,"died",NA,5.68349252220244,"2016_2018"
"HAA","06","9","Pocillopora","9  ",123.12,"Pocillopora","11  ",224.71,"survived",0.825129954515919,12.5204334089437,"2016_2018"
"HAA","06","10","Pocillopora","10  ",42.85,"Pocillopora","12  ",223.71,"survived",4.22077012835473,7.38636002994044,"2016_2018"
"HAA","06","11","Pocillopora","11  ",1.37,"Pocillopora","7  ",13.91,"survived",9.15328467153284,1.32073395363607,"2016_2018"
"HAA","06","12","Pocillopora","12  ",179.84,"Pocillopora","14  15  ",201.3,"survived",0.119328291814947,15.1320652828744,"2016_2018"
"HAA","06","13","Pocillopora","13  ",1.58,"Pocillopora","13  ",7.95,"survived",4.03164556962025,1.41835061979807,"2016_2018"
"HAA","06","14","Pocillopora","14  ",19.12,NA,"",0,"died",NA,4.93399838825838,"2016_2018"
"HAA","06","15","Pocillopora","15  ",12.61,NA,"",0,"died",NA,4.00693781572792,"2016_2018"
"HAA","06","16","Pocillopora","16  ",23.35,"Pocillopora","10  ",147.18,"survived",5.30321199143469,5.45253549915689,"2016_2018"
"HAA","06","17","Pocillopora","17  ",20.26,"Pocillopora","20  ",26.65,"survived",0.315399802566634,5.0789598518136,"2016_2018"
"HAA","06","18","Pocillopora","18  21  ",95.33,"Pocillopora","18  ",137.23,"survived",0.439525857547467,11.017165052753,"2016_2018"
"HAA","06","19","Pocillopora","19  ",5.13,NA,"",0,"died",NA,2.55572276753395,"2016_2018"
"HAA","06","20","Pocillopora","20  ",82.28,"Pocillopora","17  ",900.18,"survived",9.94044725328148,10.2353382816988,"2016_2018"
"HAA","06","21","Pocillopora","22  ",61.69,NA,"",0,"died",NA,8.86262644562616,"2016_2018"
"HAA","06","22","Pocillopora","23  ",132.71,NA,"",0,"died",NA,12.9989084150094,"2016_2018"
"HAA","07","0","Pocillopora","0  16  ",347.36,"Pocillopora","0",1028.33,"survived",1.96041570704744,21.0302755155325,"2016_2018"
"HAA","07","1","Pocillopora","2  ",247.39,"Pocillopora","3",363.2,"survived",0.468127248474069,17.7478655328474,"2016_2018"
"HAA","07","2","Pocillopora","3  ",46.48,"Pocillopora","1",140.34,"survived",2.01936316695353,7.69286513850921,"2016_2018"
"HAA","07","3","Pocillopora","4  ",58.23,NA,NA,0,"died",NA,8.61050165146773,"2016_2018"
"HAA","07","4","Pocillopora","5  28  ",13.48,"Pocillopora","9",93.8,"survived",5.95845697329377,4.14285759627699,"2016_2018"
"HAA","07","5","Pocillopora","6  ",40.37,"Pocillopora","8",33.72,"survived",-0.164726281892494,7.16942678468499,"2016_2018"
"HAA","07","6","Pocillopora","7  ",9.1,"Pocillopora","10",98.74,"survived",9.85054945054945,3.40389186918298,"2016_2018"
"HAA","07","7","Pocillopora","9  ",27.28,"Pocillopora","11",87.63,"survived",2.21224340175953,5.89355366314546,"2016_2018"
"HAA","07","8","Pocillopora","11  ",12.42,NA,NA,0,"died",NA,3.97663615957139,"2016_2018"
"HAA","07","9","Pocillopora","12  ",5.4,NA,NA,0,"died",NA,2.62211623342099,"2016_2018"
"HAA","07","10","Pocillopora","13  ",4.51,NA,NA,0,"died",NA,2.39631182168673,"2016_2018"
"HAA","07","11","Pocillopora","14  ",15.04,"Pocillopora","6",65.71,"survived",3.36901595744681,4.3760167678857,"2016_2018"
"HAA","07","12","Pocillopora","15  ",6.67,"Pocillopora","7",60.92,"survived",8.13343328335832,2.91419075617632,"2016_2018"
"HAA","07","13","Pocillopora","17  ",4.87,NA,NA,0,"died",NA,2.49011577699918,"2016_2018"
