"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"HAA_03_10","Pocillopora","12  ",58.41,"Pocillopora","10",129.61,"grew",1.21896935456258,"2016_2018","HAA"
"HAA_03_11","Pocillopora","13  ",5.88,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_03_12","Pocillopora","14  ",11.81,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_03_13","Pocillopora","15  ",6.68,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_03_14","Pocillopora","16  ",1.09,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_03_15","Pocillopora","17  ",6.65,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_03_16","Pocillopora","18  ",11.47,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_03_17","Pocillopora","19  ",3.16,"Pocillopora","12",61.42,"grew",18.4367088607595,"2016_2018","HAA"
"HAA_03_18","Pocillopora","20  ",2.84,"Pocillopora","15",45.47,"grew",15.0105633802817,"2016_2018","HAA"
"HAA_03_19","Pocillopora","21  ",4.09,"Pocillopora","16",38.35,"grew",8.37652811735942,"2016_2018","HAA"
"HAA_03_20","Pocillopora","22  ",5.12,"Pocillopora","17",42.38,"grew",7.27734375,"2016_2018","HAA"
"HAA_03_21","Pocillopora","23  ",16.9,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_03_22","Pocillopora","24  ",5.04,"Pocillopora","7",34.44,"grew",5.83333333333333,"2016_2018","HAA"
"HAA_03_23","Pocillopora","25  ",4.09,"Pocillopora","18",34.69,"grew",7.48166259168704,"2016_2018","HAA"
"HAA_03_24","Pocillopora","",4.06,"Pocillopora","0",4.06,"born",NA,"2016_2018","HAA"
"HAA_03_25","Pocillopora","",6.08,"Pocillopora","6",6.08,"born",NA,"2016_2018","HAA"
"HAA_03_26","Pocillopora","",14.65,"Pocillopora","11",14.65,"born",NA,"2016_2018","HAA"
"HAA_03_27","Pocillopora","",12.98,"Pocillopora","13",12.98,"born",NA,"2016_2018","HAA"
"HAA_03_28","Pocillopora","",6.08,"Pocillopora","14",6.08,"born",NA,"2016_2018","HAA"
"HAA_04_0","Pocillopora","0  ",49.05,"Pocillopora","1  ",126.89,"grew",1.58695208970438,"2016_2018","HAA"
"HAA_04_1","Acropora","1  ",9.02,"Acropora","3  ",74.22,"grew",7.22838137472284,"2016_2018","HAA"
"HAA_04_2","Pocillopora","2  ",44.04,"Pocillopora","21  ",71.83,"grew",0.631017257039055,"2016_2018","HAA"
"HAA_04_3","Pocillopora","3  ",126.79,"Pocillopora","6  ",217.97,"grew",0.719141888161527,"2016_2018","HAA"
"HAA_04_4","Pocillopora","4  ",16.5,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_04_5","Pocillopora","5  6  8  ",174.7,"Pocillopora","7  8  ",256.23,"grew",0.466685746994848,"2016_2018","HAA"
"HAA_04_6","Pocillopora","7  ",72.59,"Pocillopora","9  ",217,"grew",1.9893924783028,"2016_2018","HAA"
"HAA_04_7","Pocillopora","9  ",110.86,"Pocillopora","11  ",150.98,"grew",0.361897889229659,"2016_2018","HAA"
"HAA_04_8","Pocillopora","10  ",6.17,"Pocillopora","13  ",20.52,"grew",2.3257698541329,"2016_2018","HAA"
"HAA_04_9","Pocillopora","11  ",41.17,"Pocillopora","10  ",53.61,"grew",0.302161768277872,"2016_2018","HAA"
"HAA_04_10","Pocillopora","12  ",266.18,"Pocillopora","20  ",629.57,"grew",1.36520399729506,"2016_2018","HAA"
"HAA_04_11","Pocillopora","13  ",35.05,"Pocillopora","22  ",93.5,"grew",1.66761768901569,"2016_2018","HAA"
"HAA_04_12","Acropora","14  ",1.47,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_04_13","Pocillopora","15  ",28.54,"Pocillopora","18  ",46.95,"grew",0.645059565522074,"2016_2018","HAA"
"HAA_04_14","Pocillopora","16  ",5.15,"Pocillopora","19  ",22.31,"grew",3.33203883495146,"2016_2018","HAA"
"HAA_04_15","Pocillopora","17  ",103.83,"Pocillopora","16  17  ",36.4,"shrunk",-0.649426947895599,"2016_2018","HAA"
"HAA_04_16","Pocillopora","18  ",112.79,"Pocillopora","12  ",274.09,"grew",1.4300913201525,"2016_2018","HAA"
"HAA_04_17","Pocillopora","19  ",23.59,NA,"",0,"died",NA,"2016_2018","HAA"
"HAA_04_18","Pocillopora","20  ",151.44,"Pocillopora","24  ",442.28,"grew",1.92049656629688,"2016_2018","HAA"
"HAA_04_19","Pocillopora","21  ",73.08,"Pocillopora","26  ",70.24,"no change",-0.0388615216201424,"2016_2018","HAA"
"HAA_04_20","Pocillopora","22  ",19.25,"Pocillopora","15  ",52.63,"grew",1.73402597402597,"2016_2018","HAA"
"HAA_04_21","Pocillopora","23  ",15.52,"Pocillopora","29  ",52.83,"grew",2.40399484536082,"2016_2018","HAA"
"HAA_04_22","Pocillopora","24  ",26.8,"Pocillopora","30  ",49.83,"grew",0.859328358208955,"2016_2018","HAA"
"HAA_04_23","Pocillopora","25  ",2.92,"Pocillopora","25  ",25.13,"grew",7.60616438356164,"2016_2018","HAA"
"HAA_04_24","Pocillopora","26  ",5.4,"Pocillopora","28  ",34.93,"grew",5.46851851851852,"2016_2018","HAA"
"HAA_04_25","Pocillopora","27  ",7.44,"Pocillopora","5  ",25.76,"grew",2.46236559139785,"2016_2018","HAA"
"HAA_04_26","Pocillopora","28  ",2.06,"Pocillopora","27  ",16.12,"grew",6.8252427184466,"2016_2018","HAA"
"HAA_04_27","Pocillopora","",3.41,"Pocillopora","0  ",3.41,"born",NA,"2016_2018","HAA"
"HAA_04_28","Acropora","",12.8,"Acropora","2  ",12.8,"born",NA,"2016_2018","HAA"
"HAA_04_29","Acropora","",3.3,"Acropora","4  ",3.3,"born",NA,"2016_2018","HAA"
"HAA_04_30","Acropora","",12.89,"Acropora","14  ",12.89,"born",NA,"2016_2018","HAA"
"HAA_04_31","Pocillopora","",2.69,"Pocillopora","23  ",2.69,"born",NA,"2016_2018","HAA"
"HAA_05_0","Pocillopora","0",29.74,"Pocillopora","7",101.48,"grew",2.41223940820444,"2016_2018","HAA"
"HAA_05_1","Pocillopora","1",24.06,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_05_2","Pocillopora","2",400.58,"Pocillopora","3",997.72,"grew",1.49068850167258,"2016_2018","HAA"
"HAA_05_3","Pocillopora","3",6.62,NA,NA,0,"died",NA,"2016_2018","HAA"
"HAA_05_4","Pocillopora","4",53.22,"Pocillopora","4",148.68,"grew",1.79368658399098,"2016_2018","HAA"
"HAA_05_5","Pocillopora","5",4.06,"Pocillopora","6",36.79,"grew",8.0615763546798,"2016_2018","HAA"
"HAA_05_6","Pocillopora","6",21.89,"Pocillopora","5",58.82,"grew",1.6870717222476,"2016_2018","HAA"
"HAA_05_7","Pocillopora","7",63.24,"Pocillopora","8",136.28,"grew",1.15496521189121,"2016_2018","HAA"
