"genet_ID","spec_1","ID_1","area_1","spec_2","ID_2","area_2","state","rel_change","comparison","site"
"E2B_10_27","Pocillopora","34  ",129.97,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_28","Pocillopora","37  ",134.38,"Pocillopora","17  ",212.94,"grew",0.584610805179342,"2016_2018","E2B"
"E2B_10_29","Pocillopora","38  ",32.5,"Pocillopora","31  ",57.66,"grew",0.774153846153846,"2016_2018","E2B"
"E2B_10_30","Pocillopora","40  ",255.93,"Pocillopora","8  ",559.58,"grew",1.18645723440003,"2016_2018","E2B"
"E2B_10_31","Pocillopora","43  ",39.21,"Pocillopora","5  6  ",60.29,"grew",0.537617954603417,"2016_2018","E2B"
"E2B_10_32","Pocillopora","44  ",86.48,"Pocillopora","3  ",153.35,"grew",0.773242368177613,"2016_2018","E2B"
"E2B_10_33","Pocillopora","46  ",6.89,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_10_34","Pocillopora","",3.21,"Pocillopora","4  ",3.21,"born",NA,"2016_2018","E2B"
"E2B_10_35","Pocillopora","",7.39,"Pocillopora","7  ",7.39,"born",NA,"2016_2018","E2B"
"E2B_10_37","Pocillopora","",3.12,"Pocillopora","13  ",3.12,"born",NA,"2016_2018","E2B"
"E2B_10_38","Pocillopora","",152.18,"Pocillopora","15  ",152.18,"born",NA,"2016_2018","E2B"
"E2B_10_39","Pocillopora","",21.45,"Pocillopora","16  ",21.45,"born",NA,"2016_2018","E2B"
"E2B_10_42","Pocillopora","",4.24,"Pocillopora","22  ",4.24,"born",NA,"2016_2018","E2B"
"E2B_10_43","Pocillopora","",38.56,"Pocillopora","27  ",38.56,"born",NA,"2016_2018","E2B"
"E2B_10_44","Pocillopora","",7.89,"Pocillopora","30  ",7.89,"born",NA,"2016_2018","E2B"
"E2B_10_45","Pocillopora","",11.64,"Pocillopora","32  ",11.64,"born",NA,"2016_2018","E2B"
"E2B_11_1","Pocillopora","2  ",14.73,"Pocillopora","24  ",25.27,"grew",0.715546503733876,"2016_2018","E2B"
"E2B_11_2","Pocillopora","3  ",64.01,"Pocillopora","25  ",60.56,"shrunk",-0.0538978284643025,"2016_2018","E2B"
"E2B_11_3","Pocillopora","4  ",39.35,"Pocillopora","0  ",153.76,"grew",2.90749682337992,"2016_2018","E2B"
"E2B_11_4","Pocillopora","5  ",67.83,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_5","Pocillopora","6  ",41.2,"Pocillopora","9  ",83.91,"grew",1.03665048543689,"2016_2018","E2B"
"E2B_11_6","Pocillopora","7  ",77.74,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_7","Pocillopora","8  ",115.48,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_8","Pocillopora","9  ",32.28,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_9","Pocillopora","10  ",32.3,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_10","Pocillopora","12  ",53.15,"Pocillopora","20  ",76.11,"grew",0.431984948259643,"2016_2018","E2B"
"E2B_11_11","Pocillopora","13  ",37.5,"Pocillopora","18  ",102.5,"grew",1.73333333333333,"2016_2018","E2B"
"E2B_11_12","Pocillopora","14  ",63.08,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_13","Pocillopora","15  ",200.36,"Pocillopora","12  ",311.86,"grew",0.556498303054502,"2016_2018","E2B"
"E2B_11_14","Pocillopora","16  ",137.83,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_15","Pocillopora","17  ",133.48,"Pocillopora","13  ",312,"grew",1.33742882828888,"2016_2018","E2B"
"E2B_11_16","Pocillopora","18  ",39.86,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_17","Pocillopora","19  ",23.17,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_18","Pocillopora","20  ",172.66,"Pocillopora","14  ",185.47,"grew",0.0741920537472489,"2016_2018","E2B"
"E2B_11_19","Pocillopora","21  ",218.08,"Pocillopora","15  ",325.65,"grew",0.49325935436537,"2016_2018","E2B"
"E2B_11_20","Pocillopora","22  ",136.9,"Pocillopora","16  27  ",80.86,"shrunk",-0.409349890430972,"2016_2018","E2B"
"E2B_11_22","Pocillopora","24  ",196.31,"Pocillopora","17  ",428.55,"grew",1.18302684529571,"2016_2018","E2B"
"E2B_11_23","Pocillopora","26  ",36.7,"Pocillopora","19  ",86.26,"grew",1.35040871934605,"2016_2018","E2B"
"E2B_11_24","Pocillopora","27  ",68.17,"Pocillopora","22  ",131.08,"grew",0.922839958926214,"2016_2018","E2B"
"E2B_11_25","Pocillopora","28  ",122.21,"Pocillopora","10  ",253.83,"grew",1.0769986089518,"2016_2018","E2B"
"E2B_11_26","Pocillopora","29  ",206.94,"Pocillopora","2  7  23  ",124.52,"shrunk",-0.398279694597468,"2016_2018","E2B"
"E2B_11_27","Pocillopora","30  32  ",199.12,"Pocillopora","8  ",329.46,"grew",0.654580152671756,"2016_2018","E2B"
"E2B_11_28","Pocillopora","31  ",13.31,NA,"",0,"died",NA,"2016_2018","E2B"
"E2B_11_29","Pocillopora","35  ",40.39,"Pocillopora","3  ",112.78,"grew",1.7922753156722,"2016_2018","E2B"
"E2B_11_30","Pocillopora","36  ",19.34,NA,"",0,"died",NA,"2016_2018","E2B"
